stockid,stocklong,year,UdivUmsypref,BdivBmsypref,TAC,TCbest,ERbest,SSB,country
SBT,Southern bluefin tuna Southern Oceans,1931,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1932,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1933,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1934,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1935,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1936,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1937,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1938,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1939,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1940,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1941,NA,NA,NA,NA,NA,1280000,multinational
SBT,Southern bluefin tuna Southern Oceans,1942,NA,NA,NA,NA,NA,1260000,multinational
SBT,Southern bluefin tuna Southern Oceans,1943,NA,NA,NA,NA,NA,1250000,multinational
SBT,Southern bluefin tuna Southern Oceans,1944,NA,NA,NA,NA,NA,1240000,multinational
SBT,Southern bluefin tuna Southern Oceans,1945,NA,NA,NA,NA,NA,1230000,multinational
SBT,Southern bluefin tuna Southern Oceans,1946,NA,NA,NA,NA,NA,1220000,multinational
SBT,Southern bluefin tuna Southern Oceans,1947,NA,NA,NA,NA,NA,1200000,multinational
SBT,Southern bluefin tuna Southern Oceans,1948,NA,NA,NA,NA,NA,1200000,multinational
SBT,Southern bluefin tuna Southern Oceans,1949,NA,NA,NA,NA,NA,1190000,multinational
SBT,Southern bluefin tuna Southern Oceans,1950,NA,NA,NA,NA,NA,1190000,multinational
SBT,Southern bluefin tuna Southern Oceans,1951,NA,NA,NA,NA,NA,1190000,multinational
SBT,Southern bluefin tuna Southern Oceans,1952,NA,NA,NA,829,1.06967741935484e-4,1170000,multinational
SBT,Southern bluefin tuna Southern Oceans,1953,0.0761,3.36,NA,4400,5.75916230366492e-4,1150000,multinational
SBT,Southern bluefin tuna Southern Oceans,1954,0.109,3.31,NA,2870,3.81142098273572e-4,1130000,multinational
SBT,Southern bluefin tuna Southern Oceans,1955,0.0598,3.26,NA,2290,3.11989100817439e-4,1110000,multinational
SBT,Southern bluefin tuna Southern Oceans,1956,0.116,3.16,NA,10600,0.00148459383753501,1080000,multinational
SBT,Southern bluefin tuna Southern Oceans,1957,0.447,3.03,NA,24200,0.00351233671988389,1030000,multinational
SBT,Southern bluefin tuna Southern Oceans,1958,0.447,2.86,NA,14800,0.00221889055472264,975000,multinational
SBT,Southern bluefin tuna Southern Oceans,1959,0.953,2.71,NA,64400,0.00995363214837713,925000,multinational
SBT,Southern bluefin tuna Southern Oceans,1960,2.53,2.52,NA,79400,0.0126031746031746,860000,multinational
SBT,Southern bluefin tuna Southern Oceans,1961,3.23,2.38,NA,81800,0.0136333333333333,814000,multinational
SBT,Southern bluefin tuna Southern Oceans,1962,1.95,2.27,NA,45800,0.00807760141093474,775000,multinational
SBT,Southern bluefin tuna Southern Oceans,1963,1.64,2.17,NA,66300,0.0125806451612903,741000,multinational
SBT,Southern bluefin tuna Southern Oceans,1964,1.72,2.05,NA,49900,0.0099402390438247,699000,multinational
SBT,Southern bluefin tuna Southern Oceans,1965,1.42,1.94,NA,47600,0.00985507246376812,662000,multinational
SBT,Southern bluefin tuna Southern Oceans,1966,0.871,1.89,NA,47700,0.0101059322033898,645000,multinational
SBT,Southern bluefin tuna Southern Oceans,1967,0.574,1.9,NA,65600,0.0141684665226782,648000,multinational
SBT,Southern bluefin tuna Southern Oceans,1968,0.706,1.9,NA,58400,0.0130066815144766,648000,multinational
SBT,Southern bluefin tuna Southern Oceans,1969,0.399,1.84,NA,58500,0.0137002341920375,628000,multinational
SBT,Southern bluefin tuna Southern Oceans,1970,0.359,1.86,NA,48200,0.0117560975609756,636000,multinational
SBT,Southern bluefin tuna Southern Oceans,1971,0.333,1.8,NA,45100,0.0112468827930175,614000,multinational
SBT,Southern bluefin tuna Southern Oceans,1972,0.548,1.7,NA,51900,0.0136939313984169,581000,multinational
SBT,Southern bluefin tuna Southern Oceans,1973,0.723,1.63,NA,41200,0.0112568306010929,555000,multinational
SBT,Southern bluefin tuna Southern Oceans,1974,0.564,1.58,NA,46800,0.0132203389830508,538000,multinational
SBT,Southern bluefin tuna Southern Oceans,1975,0.581,1.48,NA,33000,0.00953757225433526,504000,multinational
SBT,Southern bluefin tuna Southern Oceans,1976,0.631,1.48,NA,42500,0.0123906705539359,504000,multinational
SBT,Southern bluefin tuna Southern Oceans,1977,0.806,1.47,NA,42200,0.0124117647058824,501000,multinational
SBT,Southern bluefin tuna Southern Oceans,1978,1.04,1.47,NA,35900,0.0105588235294118,501000,multinational
SBT,Southern bluefin tuna Southern Oceans,1979,0.79,1.48,NA,38700,0.0114497041420118,505000,multinational
SBT,Southern bluefin tuna Southern Oceans,1980,0.78,1.47,NA,45100,0.0134626865671642,501000,multinational
SBT,Southern bluefin tuna Southern Oceans,1981,1.42,1.39,NA,45100,0.0137082066869301,476000,multinational
SBT,Southern bluefin tuna Southern Oceans,1982,2.1,1.32,NA,42800,0.0134591194968553,450000,multinational
SBT,Southern bluefin tuna Southern Oceans,1983,2.98,1.27,NA,42900,0.01375,433000,multinational
SBT,Southern bluefin tuna Southern Oceans,1984,1.93,1.22,NA,37100,0.0125337837837838,417000,multinational
SBT,Southern bluefin tuna Southern Oceans,1985,1.68,1.16,NA,33300,0.0118085106382979,395000,multinational
SBT,Southern bluefin tuna Southern Oceans,1986,2.31,1.08,NA,28300,0.0106792452830189,369000,multinational
SBT,Southern bluefin tuna Southern Oceans,1987,1.83,1.02,NA,25600,0.0104489795918367,349000,multinational
SBT,Southern bluefin tuna Southern Oceans,1988,2,0.947,NA,23100,0.0100873362445415,323000,multinational
