year,catch,,,,,,,,
1900,,,,,,,,,
1901,,,,,,,,,
1902,,,,,,,,,
1903,,,,,,,,,
1904,,,,,,,,,
1905,,,,,,,,,
1906,,,,,,,,,
1907,,,,,,,,,
1908,,,,,,,,,
1909,,,,,,,,,
1910,,,,,,,,,
1911,,,,,,,,,
1912,,,,,,,,,
1913,,,,,,,,,
1914,,,,,,,,,
1915,,,,,,,,,
1916,,,,,,,,,
1917,,,,,,,,,
1918,,,,,,,,,
1919,,,,,,,,,
1920,,,,,,,,,
1921,,,,,,,,,
1922,,,,,,,,,
1923,,,,,,,,,
1924,,,,,,,,,
1925,,,,,,,,,
1926,,,,,,,,,
1927,,,,,,,,,
1928,,,,,,,,,
1929,,,,,,,,,
1930,,,,,,,,,
1931,,,,,,,,,
1932,,,,,,,,,
1933,,,,,,,,,
1934,,,,,,,,,
1935,,,,,,,,,
1936,,,,,,,,,
1937,,,,,,,,,
1938,,,,,,,,,
1939,,,,,,,,,
1940,,,,,,,,,
1941,,,,,,,,,
1942,,,,,,,,,
1943,,,,,,,,,
1944,,,,,,,,,
1945,,,,,,,,,
1946,,,,,,,,,
1947,,,,,,,,,
1948,,,,,,,,,
1949,,,,,,,,,
1950,0,,,,,,,,
1951,0,,,,,,,,
1952,0,,,,,,,,
1953,0,,,,,,,,
1954,0,,,,,,,,
1955,0,,,,,,,,
1956,0,,,,,,,,
1957,1700,,,,,,,,
1958,2900,,,,,,,,
1959,2900,,,,,,,,
1960,1300,,,,,,,,
1961,1400,,,,,,,,
1962,1200,,,,,,,,
1963,1600,,,,,,,,
1964,1600,,,,,,,,
1965,2200,,,,,,,,
1966,3000,,,,,,,,
1967,2300,,,,,,,,
1968,2600,,,,,,,,
1969,3400,,,,,,,,
1970,500,,,,,,,,
1971,500,,,,,,,,
1972,701,,,,,,,,
1973,500,,,,,,,,
1974,500,,,,,,,,
1975,500,,,,,,,,
1976,561,,,,,,,,
1977,613,,,,,,,,
1978,590,,,,,,,,
1979,833,,,,,,,,
1980,500,,,,,,,,
1981,1500,,,,,,,,
1982,1272,,,,,,,,
1983,1235,,,,,,,,
1984,3451,,,,,,,,
1985,4129,,,,,,,,
1986,3712,,,,,,,,
1987,3995.565,,,,,,,,
1988,4063,,,,,,,,
1989,4060,,,,,,,,
1990,1896,,,,,,,,
1991,2379.09,,,,,,,,
1992,2202,,,,,,,,
1993,2137.728,,,,,,,,
1994,1349,,,,,,,,
1995,1587.1,,,,,,,,
1996,3150.369,,,,,,,,
1997,2540.875,,,,,,,,
1998,2697.665,,,,,,,,
1999,4856.277,,,,,,,,
2000,5576.957,,,,,,,,
2001,4870.24,,,,,,,,
2002,5607.733,,,,,,,,
2003,7898.464,,,,,,,,
2004,4874.157,,,,,,,,
2005,3529.029,,,,,,,,
2006,5964.747,,,,,,,,
2007,6519.887,,,,,,,,
2008,2969.583,,,,,,,,
2009,4023.841,,,,,,,,
2010,2123.715,,,,,,,,
2011,4627.961,,,,,,,,
2012,2046.9,,,,,,,,
2013,1503.192,,,,,,,,
2014,2400.021,,,,,,,,
2015,3554.147,,,,,,,,
2016,4319.19,,,,,,,,
2017,2780.382,,,,,,,,
2018,2862.99,,,,,,,,
2019,2484.47,,,,,,,,
2020,2674.812,,,,,,,,
2021,,,,,,,,,
