stockid,year,TCbest
ALBANATL,1930,NA
ALBANATL,1931,NA
ALBANATL,1932,NA
ALBANATL,1933,NA
ALBANATL,1934,NA
ALBANATL,1935,NA
ALBANATL,1936,NA
ALBANATL,1937,NA
ALBANATL,1938,NA
ALBANATL,1939,NA
ALBANATL,1940,NA
ALBANATL,1941,NA
ALBANATL,1942,NA
ALBANATL,1943,NA
ALBANATL,1944,NA
ALBANATL,1945,NA
ALBANATL,1946,NA
ALBANATL,1947,NA
ALBANATL,1948,NA
ALBANATL,1949,NA
ALBANATL,1950,NA
ALBANATL,1951,34100
ALBANATL,1952,32400
ALBANATL,1953,30100
ALBANATL,1954,40000
ALBANATL,1955,31400
ALBANATL,1956,40900
ALBANATL,1957,42100
ALBANATL,1958,52400
ALBANATL,1959,49900
ALBANATL,1960,52900
ALBANATL,1961,42700
ALBANATL,1962,58800
ALBANATL,1963,60300
ALBANATL,1964,64600
ALBANATL,1965,60700
ALBANATL,1966,47400
ALBANATL,1967,59100
ALBANATL,1968,45200
ALBANATL,1969,46700
ALBANATL,1970,45900
ALBANATL,1971,56800
ALBANATL,1972,48800
ALBANATL,1973,45700
ALBANATL,1974,49600
ALBANATL,1975,41900
ALBANATL,1976,57200
ALBANATL,1977,54000
ALBANATL,1978,50100
ALBANATL,1979,51400
ALBANATL,1980,38700
ALBANATL,1981,34500
ALBANATL,1982,42700
ALBANATL,1983,51500
ALBANATL,1984,41800
ALBANATL,1985,40800
ALBANATL,1986,47600
ALBANATL,1987,38100
ALBANATL,1988,33100
ALBANATL,1989,32100
ALBANATL,1990,36900
ALBANATL,1991,27900
ALBANATL,1992,30900
ALBANATL,1993,38100
ALBANATL,1994,35200
ALBANATL,1995,38400
ALBANATL,1996,28800
ALBANATL,1997,29000
ALBANATL,1998,25700
ALBANATL,1999,34600
ALBANATL,2000,33100
ALBANATL,2001,26300
ALBANATL,2002,22700
ALBANATL,2003,25600
ALBANATL,2004,26000
ALBANATL,2005,35300
ALBANATL,2006,37000
ALBANATL,2007,22000
ALBANATL,2008,20500
ALBANATL,2009,15400
ALBANATL,2010,19500
ALBANATL,2011,20000
ALBANATL,2012,25700
ALBANATL,2013,24600
ALBANATL,2014,26700
ALBANATL,2015,25400
ALBANATL,2016,30100
