year,catch,,,,,,,,
1936,442,,,,,,,,
1937,"1,681",,,,,,,,
1938,"8,594",,,,,,,,
1939,"8,715",,,,,,,,
1940,"6,605",,,,,,,,
1941,"5,447",,,,,,,,
1942,"10,678",,,,,,,,
1943,"17,084",,,,,,,,
1944,"24,167",,,,,,,,
1945,"18,534",,,,,,,,
1946,"11,151",,,,,,,,
1947,"12,271",,,,,,,,
1948,"23,486",,,,,,,,
1949,"25,946",,,,,,,,
1950,"33,734",,,,,,,,
1951,"15,739",,,,,,,,
1952,"94,253",,,,,,,,
1953,"76,895",,,,,,,,
1954,"61,500",,,,,,,,
1955,"54,535",,,,,,,,
1956,"76,640",,,,,,,,
1957,"92,353",,,,,,,,
1958,"55,704",,,,,,,,
1959,"51,172",,,,,,,,
1960,"63,359",,,,,,,,
1961,"52,968",,,,,,,,
1962,"47,424",,,,,,,,
1963,"68,940",,,,,,,,
1964,"62,441",,,,,,,,
1965,"73,093",,,,,,,,
1966,"66,172",,,,,,,,
1967,"83,182",,,,,,,,
1968,"68,837",,,,,,,,
1969,"74,242",,,,,,,,
1970,"68,719",,,,,,,,
1971,"90,911",,,,,,,,
1972,"103,185",,,,,,,,
1973,"107,186",,,,,,,,
1974,"117,794",,,,,,,,
1975,"95,572",,,,,,,,
1976,"127,227",,,,,,,,
1977,"62,568",,,,,,,,
1978,"99,518",,,,,,,,
1979,"70,277",,,,,,,,
1980,"74,947",,,,,,,,
1981,"70,901",,,,,,,,
1982,"72,443",,,,,,,,
1983,"54,149",,,,,,,,
1984,"71,586",,,,,,,,
1985,"58,917",,,,,,,,
1986,"47,916",,,,,,,,
1987,"49,186",,,,,,,,
1988,"44,302",,,,,,,,
1989,"43,460",,,,,,,,
1990,"52,613",,,,,,,,
1991,"26,047",,,,,,,,
1992,"54,470",,,,,,,,
1993,"53,945",,,,,,,,
1994,"72,988",,,,,,,,
1995,"67,853",,,,,,,,
1996,"84,016",,,,,,,,
1997,"103,606",,,,,,,,
1998,"92,029",,,,,,,,
1999,"119,066",,,,,,,,
2000,"81,033",,,,,,,,
2001,"88,522",,,,,,,,
2002,"104,070",,,,,,,,
2003,"90,090",,,,,,,,
2004,"86,252",,,,,,,,
2005,"59,008",,,,,,,,
2006,"61,403",,,,,,,,
2007,"88,579",,,,,,,,
2008,"62,698",,,,,,,,
2009,"77,683",,,,,,,,
2010,"64,258",,,,,,,,
2011,"67,988",,,,,,,,
2012,"83,150",,,,,,,,
2013,"79,166",,,,,,,,
2014,"74,060",,,,,,,,
2015,"64,216",,,,,,,,
2016,"52,998",,,,,,,,
2017,"54,082",,,,,,,,
2018,"49,850",,,,,,,,
2019,"39,618",,,,,,,,
2020,"36,226",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
