stockid,year,TCbest
ALBASATL,1950,NA
ALBASATL,1951,0
ALBASATL,1952,0
ALBASATL,1953,0
ALBASATL,1954,0
ALBASATL,1955,0
ALBASATL,1956,21
ALBASATL,1957,725
ALBASATL,1958,1050
ALBASATL,1959,4720
ALBASATL,1960,10500
ALBASATL,1961,10800
ALBASATL,1962,19000
ALBASATL,1963,17400
ALBASATL,1964,26000
ALBASATL,1965,29800
ALBASATL,1966,27300
ALBASATL,1967,15900
ALBASATL,1968,25700
ALBASATL,1969,28500
ALBASATL,1970,23700
ALBASATL,1971,24900
ALBASATL,1972,33200
ALBASATL,1973,28200
ALBASATL,1974,19700
ALBASATL,1975,17600
ALBASATL,1976,19400
ALBASATL,1977,21500
ALBASATL,1978,23100
ALBASATL,1979,22600
ALBASATL,1980,22900
ALBASATL,1981,24000
ALBASATL,1982,29700
ALBASATL,1983,14900
ALBASATL,1984,14600
ALBASATL,1985,31100
ALBASATL,1986,37300
ALBASATL,1987,40600
ALBASATL,1988,30200
ALBASATL,1989,27200
ALBASATL,1990,28700
ALBASATL,1991,26000
ALBASATL,1992,36600
ALBASATL,1993,32800
ALBASATL,1994,35300
ALBASATL,1995,27600
ALBASATL,1996,28400
ALBASATL,1997,28000
ALBASATL,1998,30600
ALBASATL,1999,27700
ALBASATL,2000,31400
ALBASATL,2001,38800
ALBASATL,2002,31700
ALBASATL,2003,28000
ALBASATL,2004,22500
ALBASATL,2005,18900
ALBASATL,2006,24500
ALBASATL,2007,20300
ALBASATL,2008,18900
ALBASATL,2009,22300
ALBASATL,2010,19200
ALBASATL,2011,24100
ALBASATL,2012,25100
ALBASATL,2013,19300
ALBASATL,2014,13700
ALBASATL,2015,15100
ALBASATL,2016,13700
