yy,sp_code,catch
1952,ALB,154
1953,ALB,803
1954,ALB,9578
1955,ALB,8625
1956,ALB,7281
1957,ALB,8757
1958,ALB,18636
1959,ALB,17841
1960,ALB,22293
1961,ALB,23742
1962,ALB,35219
1963,ALB,31111
1964,ALB,22824
1965,ALB,25455
1966,ALB,38661
1967,ALB,43957
1968,ALB,32382
1969,ALB,24805
1970,ALB,34925
1971,ALB,38630
1972,ALB,39521
1973,ALB,47330
1974,ALB,34049
1975,ALB,23600
1976,ALB,29082
1977,ALB,38740
1978,ALB,34676
1979,ALB,27076
1980,ALB,32541
1981,ALB,34784
1982,ALB,30788
1983,ALB,25092
1984,ALB,24704
1985,ALB,32328
1986,ALB,36590
1987,ALB,25052
1988,ALB,37867
1989,ALB,49076
1990,ALB,36062
1991,ALB,35600
1992,ALB,38668
1993,ALB,35438
1994,ALB,42318
1995,ALB,38475
1996,ALB,34402
1997,ALB,39490
1998,ALB,50575
1999,ALB,39674
2000,ALB,48461
2001,ALB,63690
2002,ALB,75274
2003,ALB,64137
2004,ALB,63514
2005,ALB,64754
2006,ALB,65439
2007,ALB,59370
2008,ALB,63503
2009,ALB,84414
2010,ALB,90849
2011,ALB,66465
2012,ALB,89884
2013,ALB,87982
2014,ALB,82842
2015,ALB,83609
2016,ALB,72512
2017,ALB,94504
2018,ALB,83359
2019,ALB,86083
2020,ALB,71949
