stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1950,NA,NA,NA,NA,NA,18900,NA,NA,NA,NA,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1951,NA,NA,NA,NA,NA,14600,NA,NA,NA,NA,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1952,0.0341,3260000,3.25,4.32,NA,27500,0.00843558282208589,2270000,0.02,0.0341,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1953,0.0322,3300000,3.3,4.38,NA,26000,0.00787878787878788,2300000,0.02,0.0322,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1954,0.0244,3400000,3.33,4.43,NA,18700,0.0055,2330000,0.01,0.0244,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1955,0.0353,3540000,3.4,4.5,NA,29000,0.00819209039548023,2370000,0.02,0.0353,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1956,0.0391,3540000,3.5,4.69,NA,33700,0.00951977401129944,2470000,0.02,0.0391,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1957,0.0535,3380000,3.49,4.86,NA,40700,0.0120414201183432,2560000,0.03,0.0535,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1958,0.0736,3140000,3.31,4.57,NA,50200,0.0159872611464968,2410000,0.04,0.0736,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1959,0.0678,2870000,3.11,4.16,NA,42800,0.0149128919860627,2190000,0.03,0.0678,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1960,0.0756,2670000,2.96,3.79,NA,45000,0.0168539325842697,1990000,0.04,0.0756,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1961,0.0736,2480000,2.81,3.41,NA,39400,0.0158870967741935,1800000,0.04,0.0736,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1962,0.069,2360000,2.71,3.23,NA,36900,0.015635593220339,1700000,0.03,0.069,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1963,0.0857,2250000,2.64,3.07,NA,44300,0.0196888888888889,1620000,0.04,0.0857,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1964,0.0632,2180000,2.55,2.94,NA,32400,0.0148623853211009,1550000,0.03,0.0632,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1965,0.0632,2120000,2.5,2.89,NA,31300,0.0147641509433962,1520000,0.03,0.0632,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1966,0.0659,2070000,2.43,2.8,NA,33200,0.0160386473429952,1480000,0.03,0.0659,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1967,0.0767,2030000,2.38,2.71,NA,36700,0.0180788177339901,1430000,0.04,0.0767,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1968,0.0601,1990000,2.31,2.68,NA,30400,0.0152763819095477,1410000,0.03,0.0601,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1969,0.0702,1950000,2.2,2.66,NA,34400,0.0176410256410256,1400000,0.04,0.0702,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1970,0.0942,1940000,2.16,2.58,NA,40100,0.0206701030927835,1360000,0.05,0.0942,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1971,0.0992,1880000,2.06,2.56,NA,43200,0.0229787234042553,1350000,0.05,0.0992,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1972,0.116,1840000,1.91,2.54,NA,57200,0.0310869565217391,1340000,0.06,0.116,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1973,0.105,1810000,1.76,2.37,NA,48900,0.0270165745856354,1250000,0.05,0.105,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1974,0.128,1810000,1.61,2.35,NA,52800,0.029171270718232,1240000,0.06,0.128,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1975,0.136,1850000,1.48,2.36,NA,69400,0.0375135135135135,1240000,0.07,0.136,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1976,0.137,1910000,1.45,2.32,NA,82800,0.0433507853403141,1220000,0.07,0.137,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1977,0.173,1920000,1.45,2.48,NA,83300,0.0433854166666667,1310000,0.09,0.173,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1978,0.15,1860000,1.45,2.56,NA,66500,0.035752688172043,1350000,0.08,0.15,multinational
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1979,0.196,1740000,1.43,2.51,NA,73600,0.0422988505747126,1320000,0.1,0.196,multinational
