stockid,year,TCbest
BIGEYEEPAC,1954,1610
BIGEYEEPAC,1955,1810
BIGEYEEPAC,1956,2410
BIGEYEEPAC,1957,9700
BIGEYEEPAC,1958,10600
BIGEYEEPAC,1959,11500
BIGEYEEPAC,1960,17700
BIGEYEEPAC,1961,52600
BIGEYEEPAC,1962,45700
BIGEYEEPAC,1963,66800
BIGEYEEPAC,1964,46400
BIGEYEEPAC,1965,29400
BIGEYEEPAC,1966,35300
BIGEYEEPAC,1967,38900
BIGEYEEPAC,1968,40000
BIGEYEEPAC,1969,53200
BIGEYEEPAC,1970,35800
BIGEYEEPAC,1971,34300
BIGEYEEPAC,1972,40200
BIGEYEEPAC,1973,54400
BIGEYEEPAC,1974,38500
BIGEYEEPAC,1975,48300
BIGEYEEPAC,1976,71600
BIGEYEEPAC,1977,85200
BIGEYEEPAC,1978,89200
BIGEYEEPAC,1979,67500
BIGEYEEPAC,1980,86400
BIGEYEEPAC,1981,68300
BIGEYEEPAC,1982,60300
BIGEYEEPAC,1983,64700
BIGEYEEPAC,1984,55300
BIGEYEEPAC,1985,72400
BIGEYEEPAC,1986,105000
BIGEYEEPAC,1987,101000
BIGEYEEPAC,1988,74300
BIGEYEEPAC,1989,73000
BIGEYEEPAC,1990,105000
BIGEYEEPAC,1991,109000
BIGEYEEPAC,1992,92000
BIGEYEEPAC,1993,82200
BIGEYEEPAC,1994,107000
BIGEYEEPAC,1995,105000
BIGEYEEPAC,1996,109000
BIGEYEEPAC,1997,117000
BIGEYEEPAC,1998,91100
BIGEYEEPAC,1999,88100
BIGEYEEPAC,2000,143000
BIGEYEEPAC,2001,129000
BIGEYEEPAC,2002,132000
BIGEYEEPAC,2003,113000
BIGEYEEPAC,2004,109000
BIGEYEEPAC,2005,109000
BIGEYEEPAC,2006,118000
BIGEYEEPAC,2007,93400
BIGEYEEPAC,2008,101000
BIGEYEEPAC,2009,108000
BIGEYEEPAC,2010,94800
BIGEYEEPAC,2011,88800
BIGEYEEPAC,2012,102000
BIGEYEEPAC,2013,85800
BIGEYEEPAC,2014,96000
BIGEYEEPAC,2015,105000
BIGEYEEPAC,2016,94100
