stockid,year,catch,,,,,,,,
BIGEYEIO,1950,21.2,,,,,,,,
BIGEYEIO,1951,45.5,,,,,,,,
BIGEYEIO,1952,321,,,,,,,,
BIGEYEIO,1953,1700,,,,,,,,
BIGEYEIO,1954,6900,,,,,,,,
BIGEYEIO,1955,9800,,,,,,,,
BIGEYEIO,1956,12900,,,,,,,,
BIGEYEIO,1957,12200,,,,,,,,
BIGEYEIO,1958,11900,,,,,,,,
BIGEYEIO,1959,10100,,,,,,,,
BIGEYEIO,1960,16400,,,,,,,,
BIGEYEIO,1961,15200,,,,,,,,
BIGEYEIO,1962,18900,,,,,,,,
BIGEYEIO,1963,13800,,,,,,,,
BIGEYEIO,1964,18300,,,,,,,,
BIGEYEIO,1965,19500,,,,,,,,
BIGEYEIO,1966,24100,,,,,,,,
BIGEYEIO,1967,24900,,,,,,,,
BIGEYEIO,1968,37500,,,,,,,,
BIGEYEIO,1969,29500,,,,,,,,
BIGEYEIO,1970,25700,,,,,,,,
BIGEYEIO,1971,21100,,,,,,,,
BIGEYEIO,1972,18700,,,,,,,,
BIGEYEIO,1973,16500,,,,,,,,
BIGEYEIO,1974,27200,,,,,,,,
BIGEYEIO,1975,36600,,,,,,,,
BIGEYEIO,1976,28500,,,,,,,,
BIGEYEIO,1977,35200,,,,,,,,
BIGEYEIO,1978,52000,,,,,,,,
BIGEYEIO,1979,36000,,,,,,,,
BIGEYEIO,1980,37300,,,,,,,,
BIGEYEIO,1981,37700,,,,,,,,
BIGEYEIO,1982,47400,,,,,,,,
BIGEYEIO,1983,54900,,,,,,,,
BIGEYEIO,1984,50200,,,,,,,,
BIGEYEIO,1985,58500,,,,,,,,
BIGEYEIO,1986,60700,,,,,,,,
BIGEYEIO,1987,68400,,,,,,,,
BIGEYEIO,1988,79800,,,,,,,,
BIGEYEIO,1989,76500,,,,,,,,
BIGEYEIO,1990,79100,,,,,,,,
BIGEYEIO,1991,82400,,,,,,,,
BIGEYEIO,1992,78200,,,,,,,,
BIGEYEIO,1993,109000,,,,,,,,
BIGEYEIO,1994,117000,,,,,,,,
BIGEYEIO,1995,127000,,,,,,,,
BIGEYEIO,1996,137000,,,,,,,,
BIGEYEIO,1997,157000,,,,,,,,
BIGEYEIO,1998,153000,,,,,,,,
BIGEYEIO,1999,162000,,,,,,,,
BIGEYEIO,2000,140000,,,,,,,,
BIGEYEIO,2001,131000,,,,,,,,
BIGEYEIO,2002,150000,,,,,,,,
BIGEYEIO,2003,140000,,,,,,,,
BIGEYEIO,2004,150000,,,,,,,,
BIGEYEIO,2005,138000,,,,,,,,
BIGEYEIO,2006,133000,,,,,,,,
BIGEYEIO,2007,138000,,,,,,,,
BIGEYEIO,2008,122000,,,,,,,,
BIGEYEIO,2009,119000,,,,,,,,
BIGEYEIO,2010,85400,,,,,,,,
BIGEYEIO,2011,94400,,,,,,,,
BIGEYEIO,2012,120000,,,,,,,,
BIGEYEIO,2013,111000,,,,,,,,
BIGEYEIO,2014,90500,,,,,,,,
BIGEYEIO,2015,93800,,,,,,,,
BIGEYEIO,2016,87600,,,,,,,,
BIGEYEIO,2017,90800,,,,,,,,
BIGEYEIO,2018,94900,,,,,,,,
BIGEYEIO,2019,"79,500",,,,,,,,
BIGEYEIO,2020,"83,498",,,,,,,,
