stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
BIGEYEIO,Bigeye tuna Indian Ocean,1950,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1951,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1952,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1953,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1954,NA,NA,NA,NA,NA,6900,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1955,NA,NA,NA,NA,NA,9800,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1956,NA,NA,NA,NA,NA,12900,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1957,NA,NA,NA,NA,NA,12200,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1958,NA,NA,NA,NA,NA,11900,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1959,NA,NA,NA,NA,NA,10100,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1960,NA,NA,NA,NA,NA,16400,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1961,NA,NA,NA,NA,NA,15200,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1962,NA,NA,NA,NA,NA,18900,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1963,NA,NA,NA,NA,NA,13800,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1964,NA,NA,NA,NA,NA,18300,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1965,NA,NA,NA,NA,NA,19500,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1966,NA,NA,NA,NA,NA,24100,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1967,NA,NA,NA,NA,NA,24900,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1968,NA,NA,NA,NA,NA,37500,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1969,NA,NA,NA,NA,NA,29500,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1970,NA,NA,NA,NA,NA,25700,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1971,NA,NA,NA,NA,NA,21100,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1972,NA,NA,NA,NA,NA,18700,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1973,NA,NA,NA,NA,NA,16500,NA,NA,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1974,NA,NA,NA,NA,NA,27200,NA,1670000,NA,NA,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1975,0.0571,NA,NA,3.2,NA,36600,NA,1660000,NA,0.0571,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1976,0.0466,NA,NA,3.18,NA,28500,NA,1660000,NA,0.0466,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1977,0.053,NA,NA,3.17,NA,35200,NA,1640000,NA,0.053,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1978,0.0894,NA,NA,3.14,NA,52000,NA,1620000,NA,0.0894,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1979,0.0574,NA,NA,3.11,NA,36000,NA,1620000,NA,0.0574,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1980,0.0599,NA,NA,3.1,NA,37300,NA,1610000,NA,0.0599,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1981,0.0663,NA,NA,3.09,NA,37700,NA,1610000,NA,0.0663,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1982,0.0826,NA,NA,3.07,NA,47400,NA,1590000,NA,0.0826,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1983,0.114,NA,NA,3.04,NA,54900,NA,1570000,NA,0.114,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1984,0.15,NA,NA,3.01,NA,50200,NA,1560000,NA,0.15,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1985,0.191,NA,NA,2.98,NA,58500,NA,1540000,NA,0.191,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1986,0.229,NA,NA,2.95,NA,60700,NA,1520000,NA,0.229,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1987,0.253,NA,NA,2.89,NA,68400,NA,1480000,NA,0.253,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1988,0.339,NA,NA,2.83,NA,79800,NA,1420000,NA,0.339,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1989,0.337,NA,NA,2.7,NA,76500,NA,1320000,NA,0.337,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1990,0.286,NA,NA,2.51,NA,79100,NA,1220000,NA,0.286,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1991,0.331,NA,NA,2.32,NA,82400,NA,1190000,NA,0.331,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1992,0.27,NA,NA,2.25,NA,78200,NA,1180000,NA,0.27,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1993,0.339,NA,NA,2.23,NA,109000,NA,1190000,NA,0.339,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1994,0.427,NA,NA,2.27,NA,117000,NA,1190000,NA,0.427,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1995,0.578,NA,NA,2.27,NA,127000,NA,1200000,NA,0.578,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1996,0.629,NA,NA,2.28,NA,137000,NA,1170000,NA,0.629,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1997,0.838,NA,NA,2.22,NA,157000,NA,1070000,NA,0.838,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1998,0.672,NA,NA,2.03,NA,153000,NA,980000,NA,0.672,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,1999,0.984,NA,NA,1.85,NA,162000,NA,943000,NA,0.984,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2000,0.835,NA,NA,1.79,NA,140000,NA,911000,NA,0.835,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2001,0.691,NA,NA,1.73,NA,131000,NA,881000,NA,0.691,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2002,0.826,NA,NA,1.67,NA,150000,NA,815000,NA,0.826,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2003,0.625,NA,NA,1.54,NA,140000,NA,799000,NA,0.625,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2004,0.695,NA,NA,1.51,NA,150000,NA,810000,NA,0.695,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2005,0.721,NA,NA,1.53,NA,138000,NA,837000,NA,0.721,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2006,0.781,NA,NA,1.59,NA,133000,NA,857000,NA,0.781,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2007,0.906,NA,NA,1.63,NA,138000,NA,837000,NA,0.906,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2008,0.864,NA,NA,1.58,NA,122000,NA,763000,NA,0.864,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2009,0.906,NA,NA,1.44,NA,119000,NA,689000,NA,0.906,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2010,0.66,NA,NA,1.29,NA,85400,NA,713000,NA,0.66,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2011,0.688,NA,NA,1.34,NA,94400,NA,763000,NA,0.688,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2012,0.666,NA,NA,1.45,NA,120000,NA,763000,NA,0.666,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2013,0.967,NA,NA,1.45,NA,111000,NA,718000,NA,0.967,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2014,0.687,NA,NA,1.36,NA,90500,NA,685000,NA,0.687,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2015,0.755,NA,NA,1.3,NA,93800,NA,NA,NA,0.755,multinational
BIGEYEIO,Bigeye tuna Indian Ocean,2016,NA,NA,NA,NA,NA,87600,NA,NA,NA,NA,multinational
