"","stockid","year","catch","rfmo","tax_grp"
"1","BLKMARLINIO",1950,48.5,"IOTC","billfish"
"2","BLKMARLINIO",1951,48.4,"IOTC","billfish"
"3","BLKMARLINIO",1952,179,"IOTC","billfish"
"4","BLKMARLINIO",1953,535,"IOTC","billfish"
"5","BLKMARLINIO",1954,876,"IOTC","billfish"
"6","BLKMARLINIO",1955,983,"IOTC","billfish"
"7","BLKMARLINIO",1956,1480,"IOTC","billfish"
"8","BLKMARLINIO",1957,1670,"IOTC","billfish"
"9","BLKMARLINIO",1958,1560,"IOTC","billfish"
"10","BLKMARLINIO",1959,1540,"IOTC","billfish"
"11","BLKMARLINIO",1960,1730,"IOTC","billfish"
"12","BLKMARLINIO",1961,1760,"IOTC","billfish"
"13","BLKMARLINIO",1962,1900,"IOTC","billfish"
"14","BLKMARLINIO",1963,1310,"IOTC","billfish"
"15","BLKMARLINIO",1964,1600,"IOTC","billfish"
"16","BLKMARLINIO",1965,1370,"IOTC","billfish"
"17","BLKMARLINIO",1966,1300,"IOTC","billfish"
"18","BLKMARLINIO",1967,1500,"IOTC","billfish"
"19","BLKMARLINIO",1968,2120,"IOTC","billfish"
"20","BLKMARLINIO",1969,2080,"IOTC","billfish"
"21","BLKMARLINIO",1970,2290,"IOTC","billfish"
"22","BLKMARLINIO",1971,1650,"IOTC","billfish"
"23","BLKMARLINIO",1972,1250,"IOTC","billfish"
"24","BLKMARLINIO",1973,801,"IOTC","billfish"
"25","BLKMARLINIO",1974,1380,"IOTC","billfish"
"26","BLKMARLINIO",1975,1220,"IOTC","billfish"
"27","BLKMARLINIO",1976,658,"IOTC","billfish"
"28","BLKMARLINIO",1977,659,"IOTC","billfish"
"29","BLKMARLINIO",1978,789,"IOTC","billfish"
"30","BLKMARLINIO",1979,748,"IOTC","billfish"
"31","BLKMARLINIO",1980,1320,"IOTC","billfish"
"32","BLKMARLINIO",1981,1080,"IOTC","billfish"
"33","BLKMARLINIO",1982,2150,"IOTC","billfish"
"34","BLKMARLINIO",1983,2400,"IOTC","billfish"
"35","BLKMARLINIO",1984,2160,"IOTC","billfish"
"36","BLKMARLINIO",1985,2090,"IOTC","billfish"
"37","BLKMARLINIO",1986,2240,"IOTC","billfish"
"38","BLKMARLINIO",1987,2470,"IOTC","billfish"
"39","BLKMARLINIO",1988,2320,"IOTC","billfish"
"40","BLKMARLINIO",1989,2340,"IOTC","billfish"
"41","BLKMARLINIO",1990,2260,"IOTC","billfish"
"42","BLKMARLINIO",1991,2480,"IOTC","billfish"
"43","BLKMARLINIO",1992,3670,"IOTC","billfish"
"44","BLKMARLINIO",1993,4090,"IOTC","billfish"
"45","BLKMARLINIO",1994,5960,"IOTC","billfish"
"46","BLKMARLINIO",1995,5070,"IOTC","billfish"
"47","BLKMARLINIO",1996,5930,"IOTC","billfish"
"48","BLKMARLINIO",1997,6870,"IOTC","billfish"
"49","BLKMARLINIO",1998,5610,"IOTC","billfish"
"50","BLKMARLINIO",1999,6170,"IOTC","billfish"
"51","BLKMARLINIO",2000,8020,"IOTC","billfish"
