stockid,year,TCbest
BMARLINATL,1956,NA
BMARLINATL,1957,NA
BMARLINATL,1958,NA
BMARLINATL,1959,NA
BMARLINATL,1960,NA
BMARLINATL,1961,NA
BMARLINATL,1962,NA
BMARLINATL,1963,NA
BMARLINATL,1964,NA
BMARLINATL,1965,NA
BMARLINATL,1966,NA
BMARLINATL,1967,NA
BMARLINATL,1968,NA
BMARLINATL,1969,NA
BMARLINATL,1970,NA
BMARLINATL,1971,NA
BMARLINATL,1972,NA
BMARLINATL,1973,NA
BMARLINATL,1974,NA
BMARLINATL,1975,NA
BMARLINATL,1976,NA
BMARLINATL,1977,NA
BMARLINATL,1978,NA
BMARLINATL,1979,NA
BMARLINATL,1980,NA
BMARLINATL,1981,NA
BMARLINATL,1982,NA
BMARLINATL,1983,NA
BMARLINATL,1984,NA
BMARLINATL,1985,NA
BMARLINATL,1986,NA
BMARLINATL,1987,NA
BMARLINATL,1988,NA
BMARLINATL,1989,NA
BMARLINATL,1990,NA
BMARLINATL,1991,NA
BMARLINATL,1992,NA
BMARLINATL,1993,3175
BMARLINATL,1994,4258
BMARLINATL,1995,4228
BMARLINATL,1996,5418
BMARLINATL,1997,5735
BMARLINATL,1998,5696
BMARLINATL,1999,5390
BMARLINATL,2000,5481
BMARLINATL,2001,4471
BMARLINATL,2002,3906
BMARLINATL,2003,4418
BMARLINATL,2004,3208
BMARLINATL,2005,3577
BMARLINATL,2006,3174
BMARLINATL,2007,4296
BMARLINATL,2008,3776
BMARLINATL,2009,3345
BMARLINATL,2010,3052
BMARLINATL,2011,2901
BMARLINATL,2012,2855
BMARLINATL,2013,2161
BMARLINATL,2014,2689
BMARLINATL,2015,1925
BMARLINATL,2016,2019
BMARLINATL,2017,1987
