stockid,year,catch,,,,,,,
BMARLINIO,1950,1,,,,,,,
BMARLINIO,1951,6,,,,,,,
BMARLINIO,1952,396,,,,,,,
BMARLINIO,1953,1270,,,,,,,
BMARLINIO,1954,3010,,,,,,,
BMARLINIO,1955,3510,,,,,,,
BMARLINIO,1956,4940,,,,,,,
BMARLINIO,1957,3780,,,,,,,
BMARLINIO,1958,4170,,,,,,,
BMARLINIO,1959,4490,,,,,,,
BMARLINIO,1960,3880,,,,,,,
BMARLINIO,1961,3430,,,,,,,
BMARLINIO,1962,3290,,,,,,,
BMARLINIO,1963,2180,,,,,,,
BMARLINIO,1964,3400,,,,,,,
BMARLINIO,1965,3630,,,,,,,
BMARLINIO,1966,3510,,,,,,,
BMARLINIO,1967,4060,,,,,,,
BMARLINIO,1968,3540,,,,,,,
BMARLINIO,1969,3240,,,,,,,
BMARLINIO,1970,3640,,,,,,,
BMARLINIO,1971,2930,,,,,,,
BMARLINIO,1972,2890,,,,,,,
BMARLINIO,1973,1870,,,,,,,
BMARLINIO,1974,2210,,,,,,,
BMARLINIO,1975,2710,,,,,,,
BMARLINIO,1976,1780,,,,,,,
BMARLINIO,1977,1960,,,,,,,
BMARLINIO,1978,2880,,,,,,,
BMARLINIO,1979,4050,,,,,,,
BMARLINIO,1980,3650,,,,,,,
BMARLINIO,1981,2830,,,,,,,
BMARLINIO,1982,3330,,,,,,,
BMARLINIO,1983,4130,,,,,,,
BMARLINIO,1984,4250,,,,,,,
BMARLINIO,1985,5280,,,,,,,
BMARLINIO,1986,5650,,,,,,,
BMARLINIO,1987,6910,,,,,,,
BMARLINIO,1988,5090,,,,,,,
BMARLINIO,1989,6000,,,,,,,
BMARLINIO,1990,5140,,,,,,,
BMARLINIO,1991,5440,,,,,,,
BMARLINIO,1992,7800,,,,,,,
BMARLINIO,1993,8660,,,,,,,
BMARLINIO,1994,8600,,,,,,,
BMARLINIO,1995,8370,,,,,,,
BMARLINIO,1996,9910,,,,,,,
BMARLINIO,1997,11400,,,,,,,
BMARLINIO,1998,11900,,,,,,,
BMARLINIO,1999,10700,,,,,,,
BMARLINIO,2000,9510,,,,,,,
BMARLINIO,2001,7250,,,,,,,
BMARLINIO,2002,8530,,,,,,,
BMARLINIO,2003,9990,,,,,,,
BMARLINIO,2004,10100,,,,,,,
BMARLINIO,2005,8920,,,,,,,
BMARLINIO,2006,9090,,,,,,,
BMARLINIO,2007,7700,,,,,,,
BMARLINIO,2008,7670,,,,,,,
BMARLINIO,2009,8200,,,,,,,
BMARLINIO,2010,8290,,,,,,,
BMARLINIO,2011,9020,,,,,,,
BMARLINIO,2012,11200,,,,,,,
BMARLINIO,2013,8560,,,,,,,
BMARLINIO,2014,6950,,,,,,,
BMARLINIO,2015,8500,,,,,,,
BMARLINIO,2016,9680,,,,,,,
BMARLINIO,2017,9870,,,,,,,
BMARLINIO,2018,8550,,,,,,,
BMARLINIO,2019,"8,420",,,,,,,
BMARLINIO,2020,"6,958",,,,,,,
