stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1950,5.24518633338674e-5,194000,2,2,NA,1,5.15463917525773e-6,NA,NA,4.86e-5,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1951,3.14711180003204e-4,194000,2,2,NA,6,3.09278350515464e-5,NA,NA,2.8e-4,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1952,0.0207709378802115,194000,2,2,NA,396,0.00204123711340206,NA,NA,0.0197,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1953,0.0669590160010272,193000,2,2,NA,1270,0.00658031088082902,NA,NA,0.0634,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1954,0.159524693099888,192000,1.98,1.98,NA,3010,0.0156770833333333,NA,NA,0.152,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1955,0.187981956939808,190000,1.96,1.96,NA,3510,0.0184736842105263,NA,NA,0.181,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1956,0.268811592217353,187000,1.93,1.93,NA,4940,0.0264171122994652,NA,NA,0.259,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1957,0.210185794644763,183000,1.89,1.89,NA,3780,0.020655737704918,NA,NA,0.202,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1958,0.234433748065371,181000,1.87,1.87,NA,4170,0.0230386740331492,NA,NA,0.226,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1959,0.255244246232394,179000,1.85,1.85,NA,4490,0.0250837988826816,NA,NA,0.248,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1960,0.221806553756566,178000,1.83,1.83,NA,3880,0.0217977528089888,NA,NA,0.215,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1961,0.197189372314248,177000,1.82,1.82,NA,3430,0.0193785310734463,NA,NA,0.191,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1962,0.190215490292467,176000,1.82,1.82,NA,3290,0.0186931818181818,NA,NA,0.184,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1963,0.126039443415677,176000,1.82,1.82,NA,2180,0.0123863636363636,NA,NA,0.124,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1964,0.195464683926661,177000,1.83,1.83,NA,3400,0.0192090395480226,NA,NA,0.193,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1965,0.209873018164637,176000,1.82,1.82,NA,3630,0.020625,NA,NA,0.207,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1966,0.20293506715093,176000,1.81,1.81,NA,3510,0.0199431818181818,NA,NA,0.198,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1967,0.23607534649307,175000,1.81,1.81,NA,4060,0.0232,NA,NA,0.23,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1968,0.205839095218095,175000,1.8,1.8,NA,3540,0.0202285714285714,NA,NA,0.214,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1969,0.189477834581239,174000,1.8,1.8,NA,3240,0.0186206896551724,NA,NA,0.196,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1970,0.212870159838183,174000,1.8,1.8,NA,3640,0.0209195402298851,NA,NA,0.249,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1971,0.172339237897323,173000,1.79,1.79,NA,2930,0.0169364161849711,NA,NA,0.205,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1972,0.169986483796335,173000,1.79,1.79,NA,2890,0.0167052023121387,NA,NA,0.215,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1973,0.109991254221158,173000,1.79,1.79,NA,1870,0.0108092485549133,NA,NA,0.152,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1974,0.129242597044611,174000,1.8,1.8,NA,2210,0.0127011494252874,NA,NA,0.21,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1975,0.15848300361579,174000,1.79,1.79,NA,2710,0.0155747126436782,NA,NA,0.209,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1976,0.104095847393397,174000,1.79,1.79,NA,1780,0.0102298850574713,NA,NA,0.15,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1977,0.114622393759022,174000,1.8,1.8,NA,1960,0.011264367816092,NA,NA,0.149,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1978,0.167462314753705,175000,1.81,1.81,NA,2880,0.0164571428571429,NA,NA,0.221,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1979,0.235493880122397,175000,1.8,1.8,NA,4050,0.0231428571428571,NA,NA,0.271,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1980,0.214688811715096,173000,1.79,1.79,NA,3650,0.0210982658959538,NA,NA,0.245,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1981,0.167425127950929,172000,1.78,1.78,NA,2830,0.016453488372093,NA,NA,0.203,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1982,0.195866778907197,173000,1.78,1.78,NA,3330,0.0192485549132948,NA,NA,0.241,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1983,0.244334197327681,172000,1.78,1.78,NA,4130,0.0240116279069767,NA,NA,0.284,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1984,0.252903867361249,171000,1.76,1.76,NA,4250,0.0248538011695906,NA,NA,0.292,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1985,0.31604407441263,170000,1.75,1.75,NA,5280,0.0310588235294118,NA,NA,0.365,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1986,0.342217186906262,168000,1.73,1.73,NA,5650,0.0336309523809524,NA,NA,0.417,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1987,0.426144368930804,165000,1.7,1.7,NA,6910,0.0418787878787879,NA,NA,0.497,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1988,0.319716771405313,162000,1.67,1.67,NA,5090,0.0314197530864198,NA,NA,0.392,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1989,0.381587305753885,160000,1.66,1.66,NA,6000,0.0375,NA,NA,0.494,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1990,0.331031012924046,158000,1.63,1.63,NA,5140,0.0325316455696203,NA,NA,0.398,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1991,0.352583429860065,157000,1.62,1.62,NA,5440,0.0346496815286624,NA,NA,0.414,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1992,0.508783074338513,156000,1.61,1.61,NA,7800,0.05,NA,NA,0.573,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1993,0.575955741669481,153000,1.58,1.58,NA,8660,0.0566013071895425,NA,NA,0.655,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1994,0.583404591908162,150000,1.54,1.54,NA,8600,0.0573333333333333,NA,NA,0.626,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1995,0.579389705063042,147000,1.52,1.52,NA,8370,0.0569387755102041,NA,NA,0.608,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1996,0.69545382988892,145000,1.5,1.5,NA,9910,0.0683448275862069,NA,NA,0.716,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1997,0.816919302459022,142000,1.46,1.46,NA,11400,0.0802816901408451,NA,NA,0.888,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1998,0.88387132622311,137000,1.41,1.41,NA,11900,0.0868613138686131,NA,NA,0.961,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,1999,0.824845287185166,132000,1.36,1.36,NA,10700,0.0810606060606061,NA,NA,0.933,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2000,0.826772495800084,128000,1.32,1.32,NA,10400,0.08125,NA,NA,0.919,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2001,0.606469424611508,125000,1.29,1.29,NA,7450,0.0596,NA,NA,0.694,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2002,0.707411986560269,125000,1.29,1.29,NA,8690,0.06952,NA,NA,0.821,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2003,0.84383534280534,123000,1.27,1.27,NA,10200,0.0829268292682927,NA,NA,1.04,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2004,0.966687841243176,120000,1.24,1.24,NA,11400,0.095,NA,NA,1.33,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2005,0.99955612834646,113000,1.17,1.17,NA,11100,0.0982300884955752,NA,NA,1.48,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2006,0.918689438003693,106000,1.1,1.1,NA,9570,0.0902830188679245,NA,NA,1.37,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2007,0.785122116675314,102000,1.05,1.05,NA,7870,0.077156862745098,NA,NA,1.05,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2008,0.791888111742716,101000,1.04,1.04,NA,7860,0.0778217821782178,NA,NA,0.995,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2009,0.809982654346913,100000,1.04,1.04,NA,7960,0.0796,NA,NA,1.04,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2010,0.837096000063967,99800,1.03,1.03,NA,8210,0.0822645290581162,NA,NA,0.954,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2011,1.0053431318761,99900,1.03,1.03,NA,9870,0.0987987987987988,NA,NA,1.05,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2012,NA,NA,NA,NA,NA,16500,NA,NA,NA,NA,multinational
BMARLINIO,Indo Pacific blue marlin Indian Ocean,2013,NA,NA,NA,NA,NA,14100,NA,NA,NA,NA,multinational
