stockid,year,catch,,,,,,,
IPSAILIO,1980,2500,,,,,,,
IPSAILIO,1981,1800,,,,,,,
IPSAILIO,1982,4300,,,,,,,
IPSAILIO,1983,2900,,,,,,,
IPSAILIO,1984,3100,,,,,,,
IPSAILIO,1985,3100,,,,,,,
IPSAILIO,1986,3500,,,,,,,
IPSAILIO,1987,4000,,,,,,,
IPSAILIO,1988,5800,,,,,,,
IPSAILIO,1989,6900,,,,,,,
IPSAILIO,1990,6500,,,,,,,
IPSAILIO,1991,7400,,,,,,,
IPSAILIO,1992,9400,,,,,,,
IPSAILIO,1993,9900,,,,,,,
IPSAILIO,1994,12500,,,,,,,
IPSAILIO,1995,13000,,,,,,,
IPSAILIO,1996,14300,,,,,,,
IPSAILIO,1997,14300,,,,,,,
IPSAILIO,1998,12100,,,,,,,
IPSAILIO,1999,13000,,,,,,,
IPSAILIO,2000,15000,,,,,,,
IPSAILIO,2001,14700,,,,,,,
IPSAILIO,2002,14400,,,,,,,
IPSAILIO,2003,17200,,,,,,,
IPSAILIO,2004,20700,,,,,,,
IPSAILIO,2005,17800,,,,,,,
IPSAILIO,2006,18100,,,,,,,
IPSAILIO,2007,18300,,,,,,,
IPSAILIO,2008,20500,,,,,,,
IPSAILIO,2009,23600,,,,,,,
IPSAILIO,2010,26400,,,,,,,
IPSAILIO,2011,23300,,,,,,,
IPSAILIO,2012,23400,,,,,,,
IPSAILIO,2013,27200,,,,,,,
IPSAILIO,2014,27200,,,,,,,
IPSAILIO,2015,"28,500",,,,,,,
IPSAILIO,2016,27100,,,,,,,
IPSAILIO,2017,32400,,,,,,,
IPSAILIO,2018,33900,,,,,,,
IPSAILIO,2019,"29,635",,,,,,,
