stockid,year,TCbest
STMARLINNEPAC,1954,23
STMARLINNEPAC,1955,11
STMARLINNEPAC,1956,8
STMARLINNEPAC,1957,57
STMARLINNEPAC,1958,60
STMARLINNEPAC,1959,104
STMARLINNEPAC,1960,287
STMARLINNEPAC,1961,1210
STMARLINNEPAC,1962,3410
STMARLINNEPAC,1963,5940
STMARLINNEPAC,1964,3820
STMARLINNEPAC,1965,4510
STMARLINNEPAC,1966,4950
STMARLINNEPAC,1967,5390
STMARLINNEPAC,1968,5580
STMARLINNEPAC,1969,6240
STMARLINNEPAC,1970,6610
STMARLINNEPAC,1971,5030
STMARLINNEPAC,1972,3870
STMARLINNEPAC,1973,2360
STMARLINNEPAC,1974,1670
STMARLINNEPAC,1975,2580
STMARLINNEPAC,1976,1670
STMARLINNEPAC,1977,1610
STMARLINNEPAC,1978,1290
STMARLINNEPAC,1979,2340
STMARLINNEPAC,1980,1430
STMARLINNEPAC,1981,2110
STMARLINNEPAC,1982,1540
STMARLINNEPAC,1983,2630
STMARLINNEPAC,1984,1390
STMARLINNEPAC,1985,1210
STMARLINNEPAC,1986,1880
STMARLINNEPAC,1987,4280
STMARLINNEPAC,1988,2620
STMARLINNEPAC,1989,1750
STMARLINNEPAC,1990,1830
STMARLINNEPAC,1991,1740
STMARLINNEPAC,1992,1720
STMARLINNEPAC,1993,1900
STMARLINNEPAC,1994,1920
STMARLINNEPAC,1995,2280
STMARLINNEPAC,1996,2170
STMARLINNEPAC,1997,3340
STMARLINNEPAC,1998,2480
STMARLINNEPAC,1999,1940
STMARLINNEPAC,2000,1620
STMARLINNEPAC,2001,1190
STMARLINNEPAC,2002,1400
STMARLINNEPAC,2003,1030
STMARLINNEPAC,2004,934
STMARLINNEPAC,2005,1220
STMARLINNEPAC,2006,1240
STMARLINNEPAC,2007,1610
STMARLINNEPAC,2008,1300
STMARLINNEPAC,2009,1360
