stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
SWORDIO,Swordfish Indian Ocean,1950,0.00103,NA,NA,4.38,NA,43.4,NA,74400,1e-4,0.00103,multinational
SWORDIO,Swordfish Indian Ocean,1951,0.00138,NA,NA,4.38,NA,40.8,NA,74400,2e-4,0.00138,multinational
SWORDIO,Swordfish Indian Ocean,1952,0.00409,NA,NA,4.38,NA,43.7,NA,74400,5e-4,0.00409,multinational
SWORDIO,Swordfish Indian Ocean,1953,0.00323,NA,NA,4.37,NA,65,NA,74300,4e-4,0.00323,multinational
SWORDIO,Swordfish Indian Ocean,1954,0.00662,NA,NA,4.37,NA,211,NA,74300,8e-4,0.00662,multinational
SWORDIO,Swordfish Indian Ocean,1955,0.00815,NA,NA,4.37,NA,269,NA,74200,9e-4,0.00815,multinational
SWORDIO,Swordfish Indian Ocean,1956,0.0151,NA,NA,4.36,NA,592,NA,74100,0.0017,0.0151,multinational
SWORDIO,Swordfish Indian Ocean,1957,0.012,NA,NA,4.35,NA,412,NA,73900,0.0014,0.012,multinational
SWORDIO,Swordfish Indian Ocean,1958,0.0132,NA,NA,4.34,NA,615,NA,73800,0.0015,0.0132,multinational
SWORDIO,Swordfish Indian Ocean,1959,0.0172,NA,NA,4.33,NA,617,NA,73600,0.002,0.0172,multinational
SWORDIO,Swordfish Indian Ocean,1960,0.0167,NA,NA,4.31,NA,711,NA,73300,0.0019,0.0167,multinational
SWORDIO,Swordfish Indian Ocean,1961,0.0202,NA,NA,4.3,NA,918,NA,73100,0.0023,0.0202,multinational
SWORDIO,Swordfish Indian Ocean,1962,0.0247,NA,NA,4.28,NA,1080,NA,72800,0.0028,0.0247,multinational
SWORDIO,Swordfish Indian Ocean,1963,0.0276,NA,NA,4.27,NA,974,NA,72500,0.0032,0.0276,multinational
SWORDIO,Swordfish Indian Ocean,1964,0.0276,NA,NA,4.25,NA,1180,NA,72200,0.0032,0.0276,multinational
SWORDIO,Swordfish Indian Ocean,1965,0.0318,NA,NA,4.23,NA,1280,NA,71900,0.0037,0.0318,multinational
SWORDIO,Swordfish Indian Ocean,1966,0.0346,NA,NA,4.21,NA,1360,NA,71500,0.004,0.0346,multinational
SWORDIO,Swordfish Indian Ocean,1967,0.0358,NA,NA,4.19,NA,1810,NA,71200,0.0041,0.0358,multinational
SWORDIO,Swordfish Indian Ocean,1968,0.0538,NA,NA,4.17,NA,1720,NA,70900,0.0062,0.0538,multinational
SWORDIO,Swordfish Indian Ocean,1969,0.0511,NA,NA,4.14,NA,1990,NA,70500,0.0059,0.0511,multinational
SWORDIO,Swordfish Indian Ocean,1970,0.0417,NA,NA,4.12,NA,2470,NA,70100,0.0048,0.0417,multinational
SWORDIO,Swordfish Indian Ocean,1971,0.0351,NA,NA,4.11,NA,2060,NA,69800,0.004,0.0351,multinational
SWORDIO,Swordfish Indian Ocean,1972,0.0499,NA,NA,4.09,NA,1970,NA,69600,0.0057,0.0499,multinational
SWORDIO,Swordfish Indian Ocean,1973,0.0556,NA,NA,4.07,NA,1600,NA,69200,0.0064,0.0556,multinational
SWORDIO,Swordfish Indian Ocean,1974,0.0477,NA,NA,4.04,NA,1920,NA,68700,0.0055,0.0477,multinational
SWORDIO,Swordfish Indian Ocean,1975,0.0454,NA,NA,4.01,NA,2190,NA,68100,0.0052,0.0454,multinational
SWORDIO,Swordfish Indian Ocean,1976,0.0498,NA,NA,3.97,NA,1950,NA,67400,0.0057,0.0498,multinational
SWORDIO,Swordfish Indian Ocean,1977,0.0577,NA,NA,3.91,NA,1880,NA,66500,0.0066,0.0577,multinational
SWORDIO,Swordfish Indian Ocean,1978,0.0751,NA,NA,3.84,NA,2390,NA,65200,0.0086,0.0751,multinational
SWORDIO,Swordfish Indian Ocean,1979,0.066,NA,NA,3.75,NA,2580,NA,63700,0.0076,0.066,multinational
SWORDIO,Swordfish Indian Ocean,1980,0.0602,NA,NA,3.65,NA,2640,NA,62000,0.0069,0.0602,multinational
SWORDIO,Swordfish Indian Ocean,1981,0.0894,NA,NA,3.55,NA,2660,NA,60300,0.0103,0.0894,multinational
SWORDIO,Swordfish Indian Ocean,1982,0.11,NA,NA,3.43,NA,3510,NA,58300,0.0126,0.11,multinational
SWORDIO,Swordfish Indian Ocean,1983,0.114,NA,NA,3.3,NA,4000,NA,56200,0.0131,0.114,multinational
SWORDIO,Swordfish Indian Ocean,1984,0.108,NA,NA,3.19,NA,3890,NA,54200,0.0124,0.108,multinational
SWORDIO,Swordfish Indian Ocean,1985,0.126,NA,NA,3.1,NA,4980,NA,52600,0.0145,0.126,multinational
SWORDIO,Swordfish Indian Ocean,1986,0.144,NA,NA,3.02,NA,5730,NA,51300,0.0166,0.144,multinational
SWORDIO,Swordfish Indian Ocean,1987,0.162,NA,NA,2.97,NA,6550,NA,50500,0.0187,0.162,multinational
SWORDIO,Swordfish Indian Ocean,1988,0.192,NA,NA,2.96,NA,9160,NA,50300,0.0221,0.192,multinational
SWORDIO,Swordfish Indian Ocean,1989,0.131,NA,NA,2.97,NA,8090,NA,50500,0.0151,0.131,multinational
SWORDIO,Swordfish Indian Ocean,1990,0.173,NA,NA,3.03,NA,8520,NA,51600,0.02,0.173,multinational
SWORDIO,Swordfish Indian Ocean,1991,0.235,NA,NA,3.1,NA,9350,NA,52600,0.027,0.235,multinational
SWORDIO,Swordfish Indian Ocean,1992,0.434,NA,NA,3.13,NA,15700,NA,53200,0.05,0.434,multinational
SWORDIO,Swordfish Indian Ocean,1993,0.655,NA,NA,3.07,NA,25900,NA,52200,0.0754,0.655,multinational
SWORDIO,Swordfish Indian Ocean,1994,0.728,NA,NA,2.9,NA,27400,NA,49300,0.0838,0.728,multinational
SWORDIO,Swordfish Indian Ocean,1995,0.949,NA,NA,2.7,NA,32000,NA,45800,0.109,0.949,multinational
SWORDIO,Swordfish Indian Ocean,1996,0.992,NA,NA,2.43,NA,36200,NA,41300,0.114,0.992,multinational
SWORDIO,Swordfish Indian Ocean,1997,1.03,NA,NA,2.19,NA,35800,NA,37200,0.119,1.03,multinational
SWORDIO,Swordfish Indian Ocean,1998,1.02,NA,NA,1.99,NA,38100,NA,33800,0.118,1.02,multinational
SWORDIO,Swordfish Indian Ocean,1999,0.93,NA,NA,1.82,NA,36000,NA,30900,0.107,0.93,multinational
SWORDIO,Swordfish Indian Ocean,2000,0.982,NA,NA,1.71,NA,35400,NA,29100,0.113,0.982,multinational
SWORDIO,Swordfish Indian Ocean,2001,1.01,NA,NA,1.62,NA,32400,NA,27600,0.116,1.01,multinational
SWORDIO,Swordfish Indian Ocean,2002,1.09,NA,NA,1.56,NA,33400,NA,26500,0.126,1.09,multinational
SWORDIO,Swordfish Indian Ocean,2003,0.943,NA,NA,1.5,NA,38000,NA,25400,0.109,0.943,multinational
SWORDIO,Swordfish Indian Ocean,2004,0.915,NA,NA,1.48,NA,40200,NA,25100,0.105,0.915,multinational
SWORDIO,Swordfish Indian Ocean,2005,1.04,NA,NA,1.47,NA,35700,NA,25000,0.12,1.04,multinational
SWORDIO,Swordfish Indian Ocean,2006,0.899,NA,NA,1.45,NA,32900,NA,24600,0.104,0.899,multinational
SWORDIO,Swordfish Indian Ocean,2007,0.803,NA,NA,1.45,NA,30200,NA,24700,0.0924,0.803,multinational
SWORDIO,Swordfish Indian Ocean,2008,0.665,NA,NA,1.48,NA,24600,NA,25200,0.0766,0.665,multinational
SWORDIO,Swordfish Indian Ocean,2009,0.528,NA,NA,1.54,NA,24700,NA,26200,0.0608,0.528,multinational
SWORDIO,Swordfish Indian Ocean,2010,0.465,NA,NA,1.62,NA,24900,NA,27600,0.0535,0.465,multinational
SWORDIO,Swordfish Indian Ocean,2011,0.573,NA,NA,1.73,NA,22200,NA,29400,0.066,0.573,multinational
SWORDIO,Swordfish Indian Ocean,2012,0.697,NA,NA,1.81,NA,29700,NA,30800,0.0802,0.697,multinational
SWORDIO,Swordfish Indian Ocean,2013,NA,NA,NA,NA,NA,30700,NA,NA,NA,NA,multinational
SWORDIO,Swordfish Indian Ocean,2014,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,multinational
