stockid,year,TCbest
SWORDNATL,1950,3650
SWORDNATL,1951,2580
SWORDNATL,1952,2990
SWORDNATL,1953,3300
SWORDNATL,1954,3030
SWORDNATL,1955,3500
SWORDNATL,1956,3360
SWORDNATL,1957,4580
SWORDNATL,1958,4900
SWORDNATL,1959,6230
SWORDNATL,1960,3830
SWORDNATL,1961,4380
SWORDNATL,1962,5340
SWORDNATL,1963,10200
SWORDNATL,1964,11300
SWORDNATL,1965,8650
SWORDNATL,1966,9350
SWORDNATL,1967,9110
SWORDNATL,1968,9170
SWORDNATL,1969,9200
SWORDNATL,1970,9500
SWORDNATL,1971,5270
SWORDNATL,1972,4770
SWORDNATL,1973,6070
SWORDNATL,1974,6360
SWORDNATL,1975,8840
SWORDNATL,1976,6700
SWORDNATL,1977,6410
SWORDNATL,1978,11800
SWORDNATL,1979,11900
SWORDNATL,1980,13600
SWORDNATL,1981,11200
SWORDNATL,1982,13200
SWORDNATL,1983,14500
SWORDNATL,1984,12800
SWORDNATL,1985,14400
SWORDNATL,1986,18500
SWORDNATL,1987,20200
SWORDNATL,1988,19500
SWORDNATL,1989,17300
SWORDNATL,1990,15700
SWORDNATL,1991,14900
SWORDNATL,1992,15400
SWORDNATL,1993,16700
SWORDNATL,1994,15500
SWORDNATL,1995,16900
SWORDNATL,1996,15200
SWORDNATL,1997,13000
SWORDNATL,1998,12200
SWORDNATL,1999,11600
SWORDNATL,2000,11500
SWORDNATL,2001,10000
SWORDNATL,2002,9650
SWORDNATL,2003,11400
SWORDNATL,2004,12200
SWORDNATL,2005,12500
SWORDNATL,2006,11500
SWORDNATL,2007,12300
SWORDNATL,2008,11000
SWORDNATL,2009,12100
SWORDNATL,2010,11600
SWORDNATL,2011,12500
SWORDNATL,2012,13800
SWORDNATL,2013,12000
SWORDNATL,2014,10678
SWORDNATL,2015,10673
SWORDNATL,2016,10376
SWORDNATL,2017,10169
SWORDNATL,2018,8858
