stockid,year,catch
SWORDWCNPAC,1975,9821
SWORDWCNPAC,1976,15011
SWORDWCNPAC,1977,16044
SWORDWCNPAC,1978,15177
SWORDWCNPAC,1979,16811
SWORDWCNPAC,1980,14690
SWORDWCNPAC,1981,12923
SWORDWCNPAC,1982,14102
SWORDWCNPAC,1983,12227
SWORDWCNPAC,1984,15101
SWORDWCNPAC,1985,15587
SWORDWCNPAC,1986,17307
SWORDWCNPAC,1987,18186
SWORDWCNPAC,1988,16915
SWORDWCNPAC,1989,14706
SWORDWCNPAC,1990,13003
SWORDWCNPAC,1991,14072
SWORDWCNPAC,1992,16442
SWORDWCNPAC,1993,16575
SWORDWCNPAC,1994,13109
SWORDWCNPAC,1995,11950
SWORDWCNPAC,1996,11170
SWORDWCNPAC,1997,11055
SWORDWCNPAC,1998,11005
SWORDWCNPAC,1999,10806
SWORDWCNPAC,2000,14055
SWORDWCNPAC,2001,11799
SWORDWCNPAC,2002,12605
SWORDWCNPAC,2003,12370
SWORDWCNPAC,2004,13100
SWORDWCNPAC,2005,13923
SWORDWCNPAC,2006,14200
SWORDWCNPAC,2007,12032
SWORDWCNPAC,2008,11456
SWORDWCNPAC,2009,10182
SWORDWCNPAC,2010,9117
SWORDWCNPAC,2011,9588
SWORDWCNPAC,2012,10608
SWORDWCNPAC,2013,9241
SWORDWCNPAC,2014,9211
SWORDWCNPAC,2015,11672
SWORDWCNPAC,2016,10068
SWORDWCNPAC,2017,8851
SWORDWCNPAC,2018,9135
