stockid,year,TCbest
WMARLINATL,1956,19
WMARLINATL,1957,160
WMARLINATL,1958,161
WMARLINATL,1959,112
WMARLINATL,1960,313
WMARLINATL,1961,830
WMARLINATL,1962,2060
WMARLINATL,1963,2610
WMARLINATL,1964,3740
WMARLINATL,1965,4910
WMARLINATL,1966,3510
WMARLINATL,1967,1430
WMARLINATL,1968,2050
WMARLINATL,1969,2270
WMARLINATL,1970,2150
WMARLINATL,1971,2270
WMARLINATL,1972,2290
WMARLINATL,1973,1870
WMARLINATL,1974,1780
WMARLINATL,1975,1760
WMARLINATL,1976,1840
WMARLINATL,1977,1150
WMARLINATL,1978,975
WMARLINATL,1979,1040
WMARLINATL,1980,976
WMARLINATL,1981,1240
WMARLINATL,1982,1100
WMARLINATL,1983,1780
WMARLINATL,1984,1210
WMARLINATL,1985,1730
WMARLINATL,1986,1640
WMARLINATL,1987,1550
WMARLINATL,1988,1400
WMARLINATL,1989,1830
WMARLINATL,1990,1660
WMARLINATL,1991,1630
WMARLINATL,1992,1460
WMARLINATL,1993,1540
WMARLINATL,1994,2110
WMARLINATL,1995,1760
WMARLINATL,1996,1570
WMARLINATL,1997,1430
WMARLINATL,1998,1680
WMARLINATL,1999,1570
WMARLINATL,2000,1534
WMARLINATL,2001,1078
WMARLINATL,2002,1012
WMARLINATL,2003,845
WMARLINATL,2004,841
WMARLINATL,2005,768
WMARLINATL,2006,612
WMARLINATL,2007,748
WMARLINATL,2008,711
WMARLINATL,2009,753
WMARLINATL,2010,504
WMARLINATL,2011,530
WMARLINATL,2012,464
WMARLINATL,2013,640
WMARLINATL,2014,436
WMARLINATL,2015,480
WMARLINATL,2016,442
WMARLINATL,2017,422
WMARLINATL,2018,304
