stockid,year,catch,,,,,,,
BLKMARLINIO,1950,48.5,,,,,,,
BLKMARLINIO,1951,48.4,,,,,,,
BLKMARLINIO,1952,179,,,,,,,
BLKMARLINIO,1953,535,,,,,,,
BLKMARLINIO,1954,876,,,,,,,
BLKMARLINIO,1955,983,,,,,,,
BLKMARLINIO,1956,1480,,,,,,,
BLKMARLINIO,1957,1670,,,,,,,
BLKMARLINIO,1958,1560,,,,,,,
BLKMARLINIO,1959,1540,,,,,,,
BLKMARLINIO,1960,1730,,,,,,,
BLKMARLINIO,1961,1760,,,,,,,
BLKMARLINIO,1962,1900,,,,,,,
BLKMARLINIO,1963,1310,,,,,,,
BLKMARLINIO,1964,1600,,,,,,,
BLKMARLINIO,1965,1370,,,,,,,
BLKMARLINIO,1966,1300,,,,,,,
BLKMARLINIO,1967,1500,,,,,,,
BLKMARLINIO,1968,2120,,,,,,,
BLKMARLINIO,1969,2080,,,,,,,
BLKMARLINIO,1970,2290,,,,,,,
BLKMARLINIO,1971,1650,,,,,,,
BLKMARLINIO,1972,1250,,,,,,,
BLKMARLINIO,1973,801,,,,,,,
BLKMARLINIO,1974,1380,,,,,,,
BLKMARLINIO,1975,1220,,,,,,,
BLKMARLINIO,1976,658,,,,,,,
BLKMARLINIO,1977,659,,,,,,,
BLKMARLINIO,1978,789,,,,,,,
BLKMARLINIO,1979,748,,,,,,,
BLKMARLINIO,1980,1320,,,,,,,
BLKMARLINIO,1981,1080,,,,,,,
BLKMARLINIO,1982,2150,,,,,,,
BLKMARLINIO,1983,2400,,,,,,,
BLKMARLINIO,1984,2160,,,,,,,
BLKMARLINIO,1985,2090,,,,,,,
BLKMARLINIO,1986,2240,,,,,,,
BLKMARLINIO,1987,2470,,,,,,,
BLKMARLINIO,1988,2320,,,,,,,
BLKMARLINIO,1989,2340,,,,,,,
BLKMARLINIO,1990,2260,,,,,,,
BLKMARLINIO,1991,2480,,,,,,,
BLKMARLINIO,1992,3670,,,,,,,
BLKMARLINIO,1993,4090,,,,,,,
BLKMARLINIO,1994,5960,,,,,,,
BLKMARLINIO,1995,5070,,,,,,,
BLKMARLINIO,1996,5930,,,,,,,
BLKMARLINIO,1997,6870,,,,,,,
BLKMARLINIO,1998,5610,,,,,,,
BLKMARLINIO,1999,6170,,,,,,,
BLKMARLINIO,2000,8020,,,,,,,
BLKMARLINIO,2001,7620,,,,,,,
BLKMARLINIO,2002,6990,,,,,,,
BLKMARLINIO,2003,8920,,,,,,,
BLKMARLINIO,2004,12900,,,,,,,
BLKMARLINIO,2005,11000,,,,,,,
BLKMARLINIO,2006,11300,,,,,,,
BLKMARLINIO,2007,9540,,,,,,,
BLKMARLINIO,2008,10200,,,,,,,
BLKMARLINIO,2009,11000,,,,,,,
BLKMARLINIO,2010,9680,,,,,,,
BLKMARLINIO,2011,11200,,,,,,,
BLKMARLINIO,2012,13300,,,,,,,
BLKMARLINIO,2013,14600,,,,,,,
BLKMARLINIO,2014,17700,,,,,,,
BLKMARLINIO,2015,19000,,,,,,,
BLKMARLINIO,2016,22400,,,,,,,
BLKMARLINIO,2017,15300,,,,,,,
BLKMARLINIO,2018,18800,,,,,,,
BLKMARLINIO,2019,"18,040",,,,,,,
