stockid,year,catch,BdivBmsy,FdivFmsy
ALBAIO,1950,8.15,4.88,2.22E-04
ALBAIO,1951,18.4,4.88,6.00E-04
ALBAIO,1952,80,4.88,0.0011
ALBAIO,1953,1110,4.87,0.0089
ALBAIO,1954,2850,4.84,0.0228
ALBAIO,1955,3360,4.81,0.0267
ALBAIO,1956,5630,4.76,0.0437
ALBAIO,1957,5340,4.72,0.042
ALBAIO,1958,7300,4.69,0.0643
ALBAIO,1959,11700,4.61,0.112
ALBAIO,1960,12100,4.5,0.128
ALBAIO,1961,16600,4.43,0.17
ALBAIO,1962,19000,4.24,0.229
ALBAIO,1963,14200,4.16,0.169
ALBAIO,1964,19400,4.07,0.24
ALBAIO,1965,13000,3.99,0.154
ALBAIO,1966,15500,3.95,0.192
ALBAIO,1967,21900,3.84,0.278
ALBAIO,1968,18300,3.76,0.251
ALBAIO,1969,20300,3.69,0.284
ALBAIO,1970,13400,3.67,0.182
ALBAIO,1971,12500,3.67,0.166
ALBAIO,1972,12000,3.69,0.165
ALBAIO,1973,22800,3.65,0.31
ALBAIO,1974,29500,3.54,0.402
ALBAIO,1975,11000,3.5,0.146
ALBAIO,1976,15000,3.54,0.233
ALBAIO,1977,11900,3.56,0.171
ALBAIO,1978,18100,3.58,0.243
ALBAIO,1979,18100,3.52,0.251
ALBAIO,1980,14000,3.39,0.204
ALBAIO,1981,15100,3.34,0.227
ALBAIO,1982,25300,3.35,0.389
ALBAIO,1983,20300,3.31,0.312
ALBAIO,1984,17800,3.21,0.227
ALBAIO,1985,11500,3.17,0.158
ALBAIO,1986,33900,3.14,0.9
ALBAIO,1987,31900,3.13,0.818
ALBAIO,1988,30500,3.2,0.765
ALBAIO,1989,22000,3.16,0.652
ALBAIO,1990,36000,2.96,1.44
ALBAIO,1991,30300,2.62,0.671
ALBAIO,1992,23000,2.35,0.565
ALBAIO,1993,20600,2.14,0.412
ALBAIO,1994,26500,1.93,0.54
ALBAIO,1995,25000,1.91,0.527
ALBAIO,1996,32300,1.81,0.625
ALBAIO,1997,29800,1.76,0.711
ALBAIO,1998,40600,1.66,0.917
ALBAIO,1999,40300,1.58,0.885
ALBAIO,2000,40200,1.49,0.871
ALBAIO,2001,46100,1.33,1.11
ALBAIO,2002,37000,1.22,0.855
ALBAIO,2003,28700,1.26,0.668
ALBAIO,2004,29800,1.32,0.641
ALBAIO,2005,29200,1.38,0.578
ALBAIO,2006,29700,1.42,0.572
ALBAIO,2007,38500,1.38,0.671
ALBAIO,2008,35800,1.38,0.609
ALBAIO,2009,38100,1.5,0.776
ALBAIO,2010,43900,1.59,0.71
ALBAIO,2011,33600,1.67,0.649
ALBAIO,2012,33400,1.75,0.645
ALBAIO,2013,32600,1.78,0.69
ALBAIO,2014,39400,1.8,0.846
ALBAIO,2015,34200,1.5,1
ALBAIO,2016,36000,1.35,1.17
ALBAIO,2017,38900,1.28,1.346
ALBAIO,2018,41400,NA,NA
ALBAIO,2019,"39,876",NA,NA
ALBAIO,2020,"38,082",NA,NA
ALBAMED,1950,0,NA,NA
ALBAMED,1951,0,NA,NA
ALBAMED,1952,0,NA,NA
ALBAMED,1953,0,NA,NA
ALBAMED,1954,0,NA,NA
ALBAMED,1955,0,NA,NA
ALBAMED,1956,0,NA,NA
ALBAMED,1957,1700,NA,NA
ALBAMED,1958,2900,NA,NA
ALBAMED,1959,2900,NA,NA
ALBAMED,1960,1300,NA,NA
ALBAMED,1961,1400,NA,NA
ALBAMED,1962,1200,NA,NA
ALBAMED,1963,1600,NA,NA
ALBAMED,1964,1600,NA,NA
ALBAMED,1965,2200,NA,NA
ALBAMED,1966,3000,NA,NA
ALBAMED,1967,2300,NA,NA
ALBAMED,1968,2600,NA,NA
ALBAMED,1969,3400,NA,NA
ALBAMED,1970,500,NA,NA
ALBAMED,1971,500,NA,NA
ALBAMED,1972,701,NA,NA
ALBAMED,1973,500,NA,NA
ALBAMED,1974,500,NA,NA
ALBAMED,1975,500,NA,NA
ALBAMED,1976,561,NA,NA
ALBAMED,1977,613,NA,NA
ALBAMED,1978,590,NA,NA
ALBAMED,1979,833,NA,NA
ALBAMED,1980,500,2.174,0.064
ALBAMED,1981,1500,2.117,0.196
ALBAMED,1982,1272,2.016,0.175
ALBAMED,1983,1235,1.927,0.178
ALBAMED,1984,3451,1.835,0.52
ALBAMED,1985,4129,1.853,0.616
ALBAMED,1986,3712,1.947,0.53
ALBAMED,1987,3995.565,2.199,0.504
ALBAMED,1988,4063,2.193,0.516
ALBAMED,1989,4060,2.211,0.512
ALBAMED,1990,1896,2.257,0.234
ALBAMED,1991,2379.09,2.259,0.293
ALBAMED,1992,2202,2.178,0.282
ALBAMED,1993,2137.728,1.996,0.298
ALBAMED,1994,1349,1.908,0.196
ALBAMED,1995,1587.1,1.838,0.24
ALBAMED,1996,3150.369,1.867,0.468
ALBAMED,1997,2540.875,1.757,0.403
ALBAMED,1998,2697.665,1.872,0.401
ALBAMED,1999,4856.277,1.78,0.76
ALBAMED,2000,5576.957,1.861,0.836
ALBAMED,2001,4870.24,1.841,0.74
ALBAMED,2002,5607.733,1.676,0.931
ALBAMED,2003,7898.464,1.558,1.415
ALBAMED,2004,4874.157,1.351,1.012
ALBAMED,2005,3529.029,1.142,0.862
ALBAMED,2006,5964.747,1.029,1.615
ALBAMED,2007,6519.887,0.811,2.249
ALBAMED,2008,2969.583,0.67,1.241
ALBAMED,2009,4023.841,0.771,1.468
ALBAMED,2010,2123.715,0.733,0.812
ALBAMED,2011,4627.961,0.779,1.668
ALBAMED,2012,2046.9,0.647,0.886
ALBAMED,2013,1503.192,0.563,0.751
ALBAMED,2014,2400.021,0.529,1.273
ALBAMED,2015,3554.147,0.453,2.192
ALBAMED,2016,4319.19,0.426,2.846
ALBAMED,2017,2780.382,0.483,1.617
ALBAMED,2018,2862.99,0.591,1.357
ALBAMED,2019,2484.47,0.57,1.213
ALBAMED,2020,2674.812,NA,NA
ALBANPAC,1936,442,NA,NA
ALBANPAC,1937,"1,681",NA,NA
ALBANPAC,1938,"8,594",NA,NA
ALBANPAC,1939,"8,715",NA,NA
ALBANPAC,1940,"6,605",NA,NA
ALBANPAC,1941,"5,447",NA,NA
ALBANPAC,1942,"10,678",NA,NA
ALBANPAC,1943,"17,084",NA,NA
ALBANPAC,1944,"24,167",NA,NA
ALBANPAC,1945,"18,534",NA,NA
ALBANPAC,1946,"11,151",NA,NA
ALBANPAC,1947,"12,271",NA,NA
ALBANPAC,1948,"23,486",NA,NA
ALBANPAC,1949,"25,946",NA,NA
ALBANPAC,1950,"33,734",NA,NA
ALBANPAC,1951,"15,739",NA,NA
ALBANPAC,1952,"94,253",NA,NA
ALBANPAC,1953,"76,895",NA,NA
ALBANPAC,1954,"61,500",NA,NA
ALBANPAC,1955,"54,535",NA,NA
ALBANPAC,1956,"76,640",NA,NA
ALBANPAC,1957,"92,353",NA,NA
ALBANPAC,1958,"55,704",NA,NA
ALBANPAC,1959,"51,172",NA,NA
ALBANPAC,1960,"63,359",NA,NA
ALBANPAC,1961,"52,968",NA,NA
ALBANPAC,1962,"47,424",NA,NA
ALBANPAC,1963,"68,940",NA,NA
ALBANPAC,1964,"62,441",NA,NA
ALBANPAC,1965,"73,093",NA,NA
ALBANPAC,1966,"66,172",NA,NA
ALBANPAC,1967,"83,182",NA,NA
ALBANPAC,1968,"68,837",NA,NA
ALBANPAC,1969,"74,242",NA,NA
ALBANPAC,1970,"68,719",NA,NA
