stockid,year,TCbest
SAILWATL,1956,1
SAILWATL,1957,24
SAILWATL,1958,66
SAILWATL,1959,5
SAILWATL,1960,176
SAILWATL,1961,350
SAILWATL,1962,364
SAILWATL,1963,354
SAILWATL,1964,533
SAILWATL,1965,979
SAILWATL,1966,649
SAILWATL,1967,693
SAILWATL,1968,871
SAILWATL,1969,752
SAILWATL,1970,1260
SAILWATL,1971,1240
SAILWATL,1972,804
SAILWATL,1973,649
SAILWATL,1974,753
SAILWATL,1975,732
SAILWATL,1976,852
SAILWATL,1977,900
SAILWATL,1978,779
SAILWATL,1979,867
SAILWATL,1980,841
SAILWATL,1981,968
SAILWATL,1982,1040
SAILWATL,1983,1190
SAILWATL,1984,1150
SAILWATL,1985,1000
SAILWATL,1986,1210
SAILWATL,1987,1150
SAILWATL,1988,1070
SAILWATL,1989,963
SAILWATL,1990,1160
SAILWATL,1991,1120
SAILWATL,1992,1330
SAILWATL,1993,1280
SAILWATL,1994,1120
SAILWATL,1995,1214
SAILWATL,1996,1143
SAILWATL,1997,1257
SAILWATL,1998,1615
SAILWATL,1999,1580
SAILWATL,2000,1996
SAILWATL,2001,1797
SAILWATL,2002,2060
SAILWATL,2003,1498
SAILWATL,2004,1727
SAILWATL,2005,1839
SAILWATL,2006,1939
SAILWATL,2007,1561
SAILWATL,2008,1733
SAILWATL,2009,1624
SAILWATL,2010,1229
SAILWATL,2011,1335
SAILWATL,2012,1275
SAILWATL,2013,985
SAILWATL,2014,859
SAILWATL,2015,898
SAILWATL,2016,1214
SAILWATL,2017,1080
SAILWATL,2018,1250
