stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
SBT,Southern bluefin tuna Southern Oceans,1931,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1932,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1933,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1934,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1935,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1936,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1937,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1938,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1939,NA,8560000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1940,NA,8570000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1941,NA,8480000,NA,NA,NA,NA,NA,1280000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1942,NA,8420000,NA,NA,NA,NA,NA,1260000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1943,NA,8370000,NA,NA,NA,NA,NA,1250000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1944,NA,8310000,NA,NA,NA,NA,NA,1240000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1945,NA,8250000,NA,NA,NA,NA,NA,1230000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1946,NA,8180000,NA,NA,NA,NA,NA,1220000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1947,NA,8120000,NA,NA,NA,NA,NA,1200000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1948,NA,8070000,NA,NA,NA,NA,NA,1200000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1949,NA,7980000,NA,NA,NA,NA,NA,1190000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1950,NA,7920000,NA,NA,NA,NA,NA,1190000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1951,NA,7840000,NA,NA,NA,NA,NA,1190000,NA,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1952,NA,7750000,3.07,NA,NA,829,1.06967741935484e-4,1170000,3e-4,NA,multinational
SBT,Southern bluefin tuna Southern Oceans,1953,0.0761,7640000,2.08,3.36,NA,4400,5.75916230366492e-4,1150000,0.0084,0.0761,multinational
SBT,Southern bluefin tuna Southern Oceans,1954,0.109,7530000,2.13,3.31,NA,2870,3.81142098273572e-4,1130000,0.0104,0.109,multinational
SBT,Southern bluefin tuna Southern Oceans,1955,0.0598,7340000,2.23,3.26,NA,2290,3.11989100817439e-4,1110000,0.0063,0.0598,multinational
SBT,Southern bluefin tuna Southern Oceans,1956,0.116,7140000,2.06,3.16,NA,10600,0.00148459383753501,1080000,0.0119,0.116,multinational
SBT,Southern bluefin tuna Southern Oceans,1957,0.447,6890000,2.22,3.03,NA,24200,0.00351233671988389,1030000,0.044,0.447,multinational
SBT,Southern bluefin tuna Southern Oceans,1958,0.447,6670000,2.14,2.86,NA,14800,0.00221889055472264,975000,0.0435,0.447,multinational
SBT,Southern bluefin tuna Southern Oceans,1959,0.953,6470000,2.17,2.71,NA,64400,0.00995363214837713,925000,0.0938,0.953,multinational
SBT,Southern bluefin tuna Southern Oceans,1960,2.53,6300000,1.89,2.52,NA,79400,0.0126031746031746,860000,0.253,2.53,multinational
SBT,Southern bluefin tuna Southern Oceans,1961,3.23,6000000,1.93,2.38,NA,81800,0.0136333333333333,814000,0.316,3.23,multinational
SBT,Southern bluefin tuna Southern Oceans,1962,1.95,5670000,1.92,2.27,NA,45800,0.00807760141093474,775000,0.189,1.95,multinational
SBT,Southern bluefin tuna Southern Oceans,1963,1.64,5270000,1.91,2.17,NA,66300,0.0125806451612903,741000,0.16,1.64,multinational
SBT,Southern bluefin tuna Southern Oceans,1964,1.72,5020000,1.82,2.05,NA,49900,0.0099402390438247,699000,0.163,1.72,multinational
SBT,Southern bluefin tuna Southern Oceans,1965,1.42,4830000,1.83,1.94,NA,47600,0.00985507246376812,662000,0.129,1.42,multinational
SBT,Southern bluefin tuna Southern Oceans,1966,0.871,4720000,1.94,1.89,NA,47700,0.0101059322033898,645000,0.0805,0.871,multinational
SBT,Southern bluefin tuna Southern Oceans,1967,0.574,4630000,1.88,1.9,NA,65600,0.0141684665226782,648000,0.056,0.574,multinational
SBT,Southern bluefin tuna Southern Oceans,1968,0.706,4490000,1.81,1.9,NA,58400,0.0130066815144766,648000,0.0678,0.706,multinational
SBT,Southern bluefin tuna Southern Oceans,1969,0.399,4270000,1.81,1.84,NA,58500,0.0137002341920375,628000,0.0354,0.399,multinational
SBT,Southern bluefin tuna Southern Oceans,1970,0.359,4100000,1.75,1.86,NA,48200,0.0117560975609756,636000,0.0312,0.359,multinational
SBT,Southern bluefin tuna Southern Oceans,1971,0.333,4010000,1.67,1.8,NA,45100,0.0112468827930175,614000,0.0303,0.333,multinational
SBT,Southern bluefin tuna Southern Oceans,1972,0.548,3790000,1.66,1.7,NA,51900,0.0136939313984169,581000,0.045,0.548,multinational
SBT,Southern bluefin tuna Southern Oceans,1973,0.723,3660000,1.61,1.63,NA,41200,0.0112568306010929,555000,0.058,0.723,multinational
