"","stockid","year","catch","rfmo","tax_grp"
"1","BLSHARIO",1970,4800,"IOTC","shark"
"2","BLSHARIO",1971,4800,"IOTC","shark"
"3","BLSHARIO",1972,4570,"IOTC","shark"
"4","BLSHARIO",1973,3380,"IOTC","shark"
"5","BLSHARIO",1974,4370,"IOTC","shark"
"6","BLSHARIO",1975,5170,"IOTC","shark"
"7","BLSHARIO",1976,4570,"IOTC","shark"
"8","BLSHARIO",1977,5170,"IOTC","shark"
"9","BLSHARIO",1978,5960,"IOTC","shark"
"10","BLSHARIO",1979,7350,"IOTC","shark"
"11","BLSHARIO",1980,7550,"IOTC","shark"
"12","BLSHARIO",1981,9930,"IOTC","shark"
"13","BLSHARIO",1982,9140,"IOTC","shark"
"14","BLSHARIO",1983,10300,"IOTC","shark"
"15","BLSHARIO",1984,10730,"IOTC","shark"
"16","BLSHARIO",1985,7150,"IOTC","shark"
"17","BLSHARIO",1986,9140,"IOTC","shark"
"18","BLSHARIO",1987,9340,"IOTC","shark"
"19","BLSHARIO",1988,10130,"IOTC","shark"
"20","BLSHARIO",1989,12900,"IOTC","shark"
"21","BLSHARIO",1990,8150,"IOTC","shark"
"22","BLSHARIO",1991,10130,"IOTC","shark"
"23","BLSHARIO",1992,10130,"IOTC","shark"
"24","BLSHARIO",1993,12520,"IOTC","shark"
"25","BLSHARIO",1994,16690,"IOTC","shark"
"26","BLSHARIO",1995,17280,"IOTC","shark"
"27","BLSHARIO",1996,18080,"IOTC","shark"
"28","BLSHARIO",1997,24040,"IOTC","shark"
"29","BLSHARIO",1998,17880,"IOTC","shark"
"30","BLSHARIO",1999,23050,"IOTC","shark"
"31","BLSHARIO",2000,29600,"IOTC","shark"
"32","BLSHARIO",2001,22050,"IOTC","shark"
"33","BLSHARIO",2002,25630,"IOTC","shark"
"34","BLSHARIO",2003,33580,"IOTC","shark"
"35","BLSHARIO",2004,40530,"IOTC","shark"
"36","BLSHARIO",2005,43700,"IOTC","shark"
"37","BLSHARIO",2006,40130,"IOTC","shark"
"38","BLSHARIO",2007,38940,"IOTC","shark"
"39","BLSHARIO",2008,42520,"IOTC","shark"
"40","BLSHARIO",2009,48280,"IOTC","shark"
"41","BLSHARIO",2010,46690,"IOTC","shark"
"42","BLSHARIO",2011,49470,"IOTC","shark"
"43","BLSHARIO",2012,52850,"IOTC","shark"
"44","BLSHARIO",2013,56420,"IOTC","shark"
"45","BLSHARIO",2014,54440,"IOTC","shark"
"46","BLSHARIO",2015,51060,"IOTC","shark"
"47","BLSHARIO",2016,55630,"IOTC","shark"
"48","BLSHARIO",2017,55230,"IOTC","shark"
"49","BLSHARIO",2018,38500,"IOTC","shark"
"50","BLSHARIO",2019,43420,"IOTC","shark"
