stockid,year,catch,,,,,,,
BLSHARIO,1970,4800,,,,,,,
BLSHARIO,1971,4800,,,,,,,
BLSHARIO,1972,4570,,,,,,,
BLSHARIO,1973,3380,,,,,,,
BLSHARIO,1974,4370,,,,,,,
BLSHARIO,1975,5170,,,,,,,
BLSHARIO,1976,4570,,,,,,,
BLSHARIO,1977,5170,,,,,,,
BLSHARIO,1978,5960,,,,,,,
BLSHARIO,1979,7350,,,,,,,
BLSHARIO,1980,7550,,,,,,,
BLSHARIO,1981,9930,,,,,,,
BLSHARIO,1982,9140,,,,,,,
BLSHARIO,1983,10300,,,,,,,
BLSHARIO,1984,10730,,,,,,,
BLSHARIO,1985,7150,,,,,,,
BLSHARIO,1986,9140,,,,,,,
BLSHARIO,1987,9340,,,,,,,
BLSHARIO,1988,10130,,,,,,,
BLSHARIO,1989,12900,,,,,,,
BLSHARIO,1990,8150,,,,,,,
BLSHARIO,1991,10130,,,,,,,
BLSHARIO,1992,10130,,,,,,,
BLSHARIO,1993,12520,,,,,,,
BLSHARIO,1994,16690,,,,,,,
BLSHARIO,1995,17280,,,,,,,
BLSHARIO,1996,18080,,,,,,,
BLSHARIO,1997,24040,,,,,,,
BLSHARIO,1998,17880,,,,,,,
BLSHARIO,1999,23050,,,,,,,
BLSHARIO,2000,29600,,,,,,,
BLSHARIO,2001,22050,,,,,,,
BLSHARIO,2002,25630,,,,,,,
BLSHARIO,2003,33580,,,,,,,
BLSHARIO,2004,40530,,,,,,,
BLSHARIO,2005,43700,,,,,,,
BLSHARIO,2006,40130,,,,,,,
BLSHARIO,2007,38940,,,,,,,
BLSHARIO,2008,42520,,,,,,,
BLSHARIO,2009,48280,,,,,,,
BLSHARIO,2010,46690,,,,,,,
BLSHARIO,2011,49470,,,,,,,
BLSHARIO,2012,52850,,,,,,,
BLSHARIO,2013,56420,,,,,,,
BLSHARIO,2014,54440,,,,,,,
BLSHARIO,2015,51060,,,,,,,
BLSHARIO,2016,55630,,,,,,,
BLSHARIO,2017,55230,,,,,,,
BLSHARIO,2018,38500,,,,,,,
BLSHARIO,2019,"43,420",,,,,,,
