stockid,year,catch
BLSHARNATL,1970,15860
BLSHARNATL,1971,15970
BLSHARNATL,1972,17180
BLSHARNATL,1973,16410
BLSHARNATL,1974,19600
BLSHARNATL,1975,15420
BLSHARNATL,1976,16630
BLSHARNATL,1977,19820
BLSHARNATL,1978,17180
BLSHARNATL,1979,19490
BLSHARNATL,1980,23460
BLSHARNATL,1981,24780
BLSHARNATL,1982,30500
BLSHARNATL,1983,32700
BLSHARNATL,1984,33150
BLSHARNATL,1985,41080
BLSHARNATL,1986,50660
BLSHARNATL,1987,52750
BLSHARNATL,1988,41300
BLSHARNATL,1989,31390
BLSHARNATL,1990,33150
BLSHARNATL,1991,37220
BLSHARNATL,1992,38440
BLSHARNATL,1993,42290
BLSHARNATL,1994,37990
BLSHARNATL,1995,39760
BLSHARNATL,1996,35570
BLSHARNATL,1997,33810
BLSHARNATL,1998,30500
BLSHARNATL,1999,30170
BLSHARNATL,2000,31720
BLSHARNATL,2001,25990
BLSHARNATL,2002,23130
BLSHARNATL,2003,25880
BLSHARNATL,2004,25550
BLSHARNATL,2005,25110
BLSHARNATL,2006,24670
BLSHARNATL,2007,26320
BLSHARNATL,2008,29960
BLSHARNATL,2009,34250
BLSHARNATL,2010,37670
BLSHARNATL,2011,38660
BLSHARNATL,2012,37990
BLSHARNATL,2013,36450
,,
,,
,,
,,
,,
,,
