stockid,year,catch
BLSHARSATL,1970,4655
BLSHARSATL,1971,5000
BLSHARSATL,1972,6030
BLSHARSATL,1973,5860
BLSHARSATL,1974,4220
BLSHARSATL,1975,4400
BLSHARSATL,1976,6290
BLSHARSATL,1977,9830
BLSHARSATL,1978,10690
BLSHARSATL,1979,11550
BLSHARSATL,1980,11550
BLSHARSATL,1981,9220
BLSHARSATL,1982,11900
BLSHARSATL,1983,6550
BLSHARSATL,1984,9570
BLSHARSATL,1985,8880
BLSHARSATL,1986,11810
BLSHARSATL,1987,9660
BLSHARSATL,1988,16700
BLSHARSATL,1989,21640
BLSHARSATL,1990,25000
BLSHARSATL,1991,21300
BLSHARSATL,1992,23100
BLSHARSATL,1993,23190
BLSHARSATL,1994,26640
BLSHARSATL,1995,28530
BLSHARSATL,1996,30090
BLSHARSATL,1997,24300
BLSHARSATL,1998,21810
BLSHARSATL,1999,23020
BLSHARSATL,2000,23100
BLSHARSATL,2001,21300
BLSHARSATL,2002,21700
BLSHARSATL,2003,25260
BLSHARSATL,2004,23450
BLSHARSATL,2005,25170
BLSHARSATL,2006,25340
BLSHARSATL,2007,25950
BLSHARSATL,2008,26980
BLSHARSATL,2009,26550
BLSHARSATL,2010,28880
BLSHARSATL,2011,35430
BLSHARSATL,2012,31900
BLSHARSATL,2013,24570
,,
,,
,,
,,
,,
,,
