stockid,year,catch
OWTSHARCWPAC,1995,6160
OWTSHARCWPAC,1996,5640
OWTSHARCWPAC,1997,5750
OWTSHARCWPAC,1998,7560
OWTSHARCWPAC,1999,6740
OWTSHARCWPAC,2000,5790
OWTSHARCWPAC,2001,3930
OWTSHARCWPAC,2002,3710
OWTSHARCWPAC,2003,2930
OWTSHARCWPAC,2004,3300
OWTSHARCWPAC,2005,2480
OWTSHARCWPAC,2006,1550
OWTSHARCWPAC,2007,1660
OWTSHARCWPAC,2008,1730
OWTSHARCWPAC,2009,1660
OWTSHARCWPAC,2010,1660
OWTSHARCWPAC,2011,2200
OWTSHARCWPAC,2012,1550
OWTSHARCWPAC,2013,
OWTSHARCWPAC,2014,
OWTSHARCWPAC,2015,"3,007"
OWTSHARCWPAC,2016,"2,464"
