stockid,year,TCbest
PORSHARNEATL,1926,279
PORSHARNEATL,1927,457
PORSHARNEATL,1928,611
PORSHARNEATL,1929,832
PORSHARNEATL,1930,1505
PORSHARNEATL,1931,1106
PORSHARNEATL,1932,1603
PORSHARNEATL,1933,3884
PORSHARNEATL,1934,3626
PORSHARNEATL,1935,1993
PORSHARNEATL,1936,2459
PORSHARNEATL,1937,2805
PORSHARNEATL,1938,2733
PORSHARNEATL,1939,2213
PORSHARNEATL,1940,104
PORSHARNEATL,1941,283
PORSHARNEATL,1942,288
PORSHARNEATL,1943,351
PORSHARNEATL,1944,321
PORSHARNEATL,1945,927
PORSHARNEATL,1946,2488
PORSHARNEATL,1947,6124
PORSHARNEATL,1948,4014
PORSHARNEATL,1949,2951
PORSHARNEATL,1950,3262
PORSHARNEATL,1951,2381
PORSHARNEATL,1952,2209
PORSHARNEATL,1953,1816
PORSHARNEATL,1954,1246
PORSHARNEATL,1955,1477
PORSHARNEATL,1956,1318
PORSHARNEATL,1957,1661
PORSHARNEATL,1958,1743
PORSHARNEATL,1959,1757
PORSHARNEATL,1960,2303
PORSHARNEATL,1961,1492
PORSHARNEATL,1962,775
PORSHARNEATL,1963,314
PORSHARNEATL,1964,316
PORSHARNEATL,1965,381
PORSHARNEATL,1966,364
PORSHARNEATL,1967,464
PORSHARNEATL,1968,806
PORSHARNEATL,1969,1023
PORSHARNEATL,1970,408
PORSHARNEATL,1971,991
PORSHARNEATL,1972,1755
PORSHARNEATL,1973,985
PORSHARNEATL,1974,744
PORSHARNEATL,1975,1063
PORSHARNEATL,1976,1185
PORSHARNEATL,1977,834
PORSHARNEATL,1978,763
PORSHARNEATL,1979,864
PORSHARNEATL,1980,932
PORSHARNEATL,1981,777
PORSHARNEATL,1982,636
PORSHARNEATL,1983,616
PORSHARNEATL,1984,484
PORSHARNEATL,1985,406
PORSHARNEATL,1986,399
PORSHARNEATL,1987,389
PORSHARNEATL,1988,471
PORSHARNEATL,1989,462
PORSHARNEATL,1990,690
PORSHARNEATL,1991,482
PORSHARNEATL,1992,629
PORSHARNEATL,1993,862
PORSHARNEATL,1994,1047
PORSHARNEATL,1995,827
PORSHARNEATL,1996,628
PORSHARNEATL,1997,633
PORSHARNEATL,1998,612
PORSHARNEATL,1999,498
PORSHARNEATL,2000,563
PORSHARNEATL,2001,525
PORSHARNEATL,2002,599
PORSHARNEATL,2003,519
PORSHARNEATL,2004,554
PORSHARNEATL,2005,379
PORSHARNEATL,2006,381
PORSHARNEATL,2007,484
PORSHARNEATL,2008,648
PORSHARNEATL,2009,529
PORSHARNEATL,2010,37
PORSHARNEATL,2011,34
PORSHARNEATL,2012,74
PORSHARNEATL,2013,40
PORSHARNEATL,2014,22
PORSHARNEATL,2015,19
PORSHARNEATL,2016,14
PORSHARNEATL,2017,10
PORSHARNEATL,2018,7
