stockid,year,TCbest
PORSHARATL,1960,0
PORSHARATL,1961,0
PORSHARATL,1962,0
PORSHARATL,1963,0
PORSHARATL,1964,0
PORSHARATL,1965,0
PORSHARATL,1966,0
PORSHARATL,1967,0
PORSHARATL,1968,0
PORSHARATL,1969,0
PORSHARATL,1970,0
PORSHARATL,1971,0
PORSHARATL,1972,0
PORSHARATL,1973,0
PORSHARATL,1974,0
PORSHARATL,1975,0
PORSHARATL,1976,0
PORSHARATL,1977,0
PORSHARATL,1978,0
PORSHARATL,1979,0
PORSHARATL,1980,0
PORSHARATL,1981,0
PORSHARATL,1982,0
PORSHARATL,1983,0
PORSHARATL,1984,0
PORSHARATL,1985,0
PORSHARATL,1986,0
PORSHARATL,1987,0
PORSHARATL,1988,0
PORSHARATL,1989,0
PORSHARATL,1990,0
PORSHARATL,1991,0
PORSHARATL,1992,0
PORSHARATL,1993,0
PORSHARATL,1994,0
PORSHARATL,1995,0
PORSHARATL,1996,1030
PORSHARATL,1997,1250
PORSHARATL,1998,934
PORSHARATL,1999,969
PORSHARATL,2000,912
PORSHARATL,2001,524
PORSHARATL,2002,255
PORSHARATL,2003,173
PORSHARATL,2004,255
PORSHARATL,2005,244
PORSHARATL,2006,228
PORSHARATL,2007,127
PORSHARATL,2008,156
PORSHARATL,2009,90
PORSHARATL,2010,164
PORSHARATL,2011,108
PORSHARATL,2012,111
PORSHARATL,2013,88
PORSHARATL,2014,81
