stockid,year,catch
SFMAKONATL,1970,231
SFMAKONATL,1971,359
SFMAKONATL,1972,350
SFMAKONATL,1973,341
SFMAKONATL,1974,518
SFMAKONATL,1975,618
SFMAKONATL,1976,290
SFMAKONATL,1977,478
SFMAKONATL,1978,417
SFMAKONATL,1979,234
SFMAKONATL,1980,525
SFMAKONATL,1981,1097
SFMAKONATL,1982,1332
SFMAKONATL,1983,1248
SFMAKONATL,1984,1591
SFMAKONATL,1985,3781
SFMAKONATL,1986,3689
SFMAKONATL,1987,3243
SFMAKONATL,1988,2926
SFMAKONATL,1989,2170
SFMAKONATL,1990,2389
SFMAKONATL,1991,2296
SFMAKONATL,1992,3233
SFMAKONATL,1993,4114
SFMAKONATL,1994,3659
SFMAKONATL,1995,5306
SFMAKONATL,1996,5306
SFMAKONATL,1997,3534
SFMAKONATL,1998,3845
SFMAKONATL,1999,2858
SFMAKONATL,2000,2587
SFMAKONATL,2001,2677
SFMAKONATL,2002,3426
SFMAKONATL,2003,3987
SFMAKONATL,2004,4000
SFMAKONATL,2005,3695
SFMAKONATL,2006,3574
SFMAKONATL,2007,4158
SFMAKONATL,2008,3800
SFMAKONATL,2009,4541
SFMAKONATL,2010,4767
SFMAKONATL,2011,3718
SFMAKONATL,2012,4431
SFMAKONATL,2013,3595
SFMAKONATL,2014,2852
SFMAKONATL,2015,2991
SFMAKONATL,2016,3351
SFMAKONATL,2017,3115
