stockid,year,catch,,,,,,,
SFMAKONPAC,1975,2774.7,,,,,,,
SFMAKONPAC,1976,3407.5,,,,,,,
SFMAKONPAC,1977,3892.4,,,,,,,
SFMAKONPAC,1978,3685.5,,,,,,,
SFMAKONPAC,1979,4046.8,,,,,,,
SFMAKONPAC,1980,4289.3,,,,,,,
SFMAKONPAC,1981,7384.5,,,,,,,
SFMAKONPAC,1982,6629.6,,,,,,,
SFMAKONPAC,1983,6243.3,,,,,,,
SFMAKONPAC,1984,5842,,,,,,,
SFMAKONPAC,1985,5734.4,,,,,,,
SFMAKONPAC,1986,5675.3,,,,,,,
SFMAKONPAC,1987,6015.4,,,,,,,
SFMAKONPAC,1988,5863.2,,,,,,,
SFMAKONPAC,1989,6990.9,,,,,,,
SFMAKONPAC,1990,4689.3,,,,,,,
SFMAKONPAC,1991,4584.2,,,,,,,
SFMAKONPAC,1992,3731.7,,,,,,,
SFMAKONPAC,1993,2436.6,,,,,,,
SFMAKONPAC,1994,2266.6,,,,,,,
SFMAKONPAC,1995,2290.6,,,,,,,
SFMAKONPAC,1996,2633.6,,,,,,,
SFMAKONPAC,1997,2212.5,,,,,,,
SFMAKONPAC,1998,2238.7,,,,,,,
SFMAKONPAC,1999,2507.5,,,,,,,
SFMAKONPAC,2000,2488.9,,,,,,,
SFMAKONPAC,2001,2662.8,,,,,,,
SFMAKONPAC,2002,2454.9,,,,,,,
SFMAKONPAC,2003,2685.6,,,,,,,
SFMAKONPAC,2004,2911.2,,,,,,,
SFMAKONPAC,2005,2480.1,,,,,,,
SFMAKONPAC,2006,2762.2,,,,,,,
SFMAKONPAC,2007,2882.4,,,,,,,
SFMAKONPAC,2008,2510,,,,,,,
SFMAKONPAC,2009,2710,,,,,,,
SFMAKONPAC,2010,"2,830",,,,,,,
SFMAKONPAC,2011,"2,650",,,,,,,
SFMAKONPAC,2012,"2,550",,,,,,,
SFMAKONPAC,2013,"2,470",,,,,,,
SFMAKONPAC,2014,"3,240",,,,,,,
SFMAKONPAC,2015,"3,430",,,,,,,
SFMAKONPAC,2016,"2,360",,,,,,,
