stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1990,NA,NA,NA,NA,NA,362,NA,NA,0.15,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1991,NA,NA,NA,NA,NA,266,NA,NA,0.17,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1992,NA,NA,NA,NA,NA,279,NA,NA,0.12,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1993,NA,NA,NA,NA,NA,348,NA,NA,0.11,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1994,NA,NA,NA,NA,NA,438,NA,NA,0.13,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1995,NA,NA,NA,NA,NA,410,NA,NA,0.09,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1996,NA,NA,NA,NA,NA,776,NA,NA,0.13,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1997,NA,NA,NA,NA,NA,582,NA,NA,0.09,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1998,NA,NA,NA,NA,NA,521,NA,NA,0.09,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,1999,NA,NA,NA,NA,NA,625,NA,NA,0.11,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,2000,NA,NA,NA,NA,NA,483,NA,NA,0.1,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,2001,NA,NA,NA,NA,NA,535,NA,NA,0.08,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,2002,NA,NA,NA,NA,NA,591,NA,NA,0.09,NA,multinational
SFMAKONWPAC,Shortfin mako Nothwest Pacific Ocean,2003,NA,NA,NA,NA,NA,754,NA,NA,0.09,NA,multinational
