stockid,year,catch
SFMAKOSATL,1970,
SFMAKOSATL,1971,97
SFMAKOSATL,1972,60
SFMAKOSATL,1973,212
SFMAKOSATL,1974,67
SFMAKOSATL,1975,76
SFMAKOSATL,1976,30
SFMAKOSATL,1977,252
SFMAKOSATL,1978,168
SFMAKOSATL,1979,299
SFMAKOSATL,1980,324
SFMAKOSATL,1981,375
SFMAKOSATL,1982,974
SFMAKOSATL,1983,512
SFMAKOSATL,1984,745
SFMAKOSATL,1985,786
SFMAKOSATL,1986,609
SFMAKOSATL,1987,386
SFMAKOSATL,1988,1032
SFMAKOSATL,1989,1546
SFMAKOSATL,1990,1255
SFMAKOSATL,1991,1062
SFMAKOSATL,1992,1183
SFMAKOSATL,1993,1743
SFMAKOSATL,1994,2182
SFMAKOSATL,1995,3100
SFMAKOSATL,1996,2395
SFMAKOSATL,1997,2187
SFMAKOSATL,1998,2008
SFMAKOSATL,1999,1606
SFMAKOSATL,2000,2588
SFMAKOSATL,2001,2107
SFMAKOSATL,2002,2103
SFMAKOSATL,2003,3235
SFMAKOSATL,2004,2526
SFMAKOSATL,2005,3259
SFMAKOSATL,2006,3036
SFMAKOSATL,2007,2786
SFMAKOSATL,2008,1881
SFMAKOSATL,2009,2063
SFMAKOSATL,2010,2486
SFMAKOSATL,2011,3258
SFMAKOSATL,2012,2905
SFMAKOSATL,2013,2183
SFMAKOSATL,2014,3274
SFMAKOSATL,2015,2773
SFMAKOSATL,2016,2765
SFMAKOSATL,2017,2786
