stockid,year,TCbest
SKJWATL,1950,0
SKJWATL,1951,0
SKJWATL,1952,1230
SKJWATL,1953,1280
SKJWATL,1954,1370
SKJWATL,1955,1400
SKJWATL,1956,1500
SKJWATL,1957,1960
SKJWATL,1958,1650
SKJWATL,1959,1830
SKJWATL,1960,3260
SKJWATL,1961,3300
SKJWATL,1962,2010
SKJWATL,1963,3960
SKJWATL,1964,5050
SKJWATL,1965,1550
SKJWATL,1966,1790
SKJWATL,1967,2790
SKJWATL,1968,2640
SKJWATL,1969,1860
SKJWATL,1970,2480
SKJWATL,1971,1990
SKJWATL,1972,2960
SKJWATL,1973,2900
SKJWATL,1974,3500
SKJWATL,1975,3560
SKJWATL,1976,3770
SKJWATL,1977,3360
SKJWATL,1978,7200
SKJWATL,1979,6570
SKJWATL,1980,12400
SKJWATL,1981,23100
SKJWATL,1982,32500
SKJWATL,1983,32000
SKJWATL,1984,35600
SKJWATL,1985,40300
SKJWATL,1986,32200
SKJWATL,1987,24200
SKJWATL,1988,23700
SKJWATL,1989,26400
SKJWATL,1990,26100
SKJWATL,1991,33400
SKJWATL,1992,30200
SKJWATL,1993,33200
SKJWATL,1994,29900
SKJWATL,1995,21900
SKJWATL,1996,27600
SKJWATL,1997,31700
SKJWATL,1998,29100
SKJWATL,1999,27400
SKJWATL,2000,29200
SKJWATL,2001,31500
SKJWATL,2002,21600
SKJWATL,2003,24700
SKJWATL,2004,27500
SKJWATL,2005,28500
SKJWATL,2006,26500
SKJWATL,2007,25400
SKJWATL,2008,22000
SKJWATL,2009,25800
SKJWATL,2010,23000
SKJWATL,2011,32400
SKJWATL,2012,32800
SKJWATL,2013,18600
SKJWATL,2014,NA
