stockid,year,TCbest
STMARLINIO,1950,1.1
STMARLINIO,1951,6.5
STMARLINIO,1952,85
STMARLINIO,1953,274
STMARLINIO,1954,816
STMARLINIO,1955,859
STMARLINIO,1956,1910
STMARLINIO,1957,1890
STMARLINIO,1958,1890
STMARLINIO,1959,2480
STMARLINIO,1960,2280
STMARLINIO,1961,2670
STMARLINIO,1962,1990
STMARLINIO,1963,1800
STMARLINIO,1964,2000
STMARLINIO,1965,3400
STMARLINIO,1966,4200
STMARLINIO,1967,4510
STMARLINIO,1968,3200
STMARLINIO,1969,4010
STMARLINIO,1970,3340
STMARLINIO,1971,1920
STMARLINIO,1972,1640
STMARLINIO,1973,1180
STMARLINIO,1974,2560
STMARLINIO,1975,2000
STMARLINIO,1976,2540
STMARLINIO,1977,4030
STMARLINIO,1978,6090
STMARLINIO,1979,3840
STMARLINIO,1980,5300
STMARLINIO,1981,5420
STMARLINIO,1982,2590
STMARLINIO,1983,3330
STMARLINIO,1984,3230
STMARLINIO,1985,4090
STMARLINIO,1986,6220
STMARLINIO,1987,5390
STMARLINIO,1988,3830
STMARLINIO,1989,3200
STMARLINIO,1990,1870
STMARLINIO,1991,3010
STMARLINIO,1992,2880
STMARLINIO,1993,6940
STMARLINIO,1994,5380
STMARLINIO,1995,6220
STMARLINIO,1996,6170
STMARLINIO,1997,4700
STMARLINIO,1998,4880
STMARLINIO,1999,4050
STMARLINIO,2000,3820
STMARLINIO,2001,3720
STMARLINIO,2002,3740
STMARLINIO,2003,3760
STMARLINIO,2004,4810
STMARLINIO,2005,4360
STMARLINIO,2006,4170
STMARLINIO,2007,3290
STMARLINIO,2008,2890
STMARLINIO,2009,2650
STMARLINIO,2010,3080
STMARLINIO,2011,3650
STMARLINIO,2012,5165
STMARLINIO,2013,4360
STMARLINIO,2014,3305
STMARLINIO,2015,3822
STMARLINIO,2016,4614
STMARLINIO,2017,3512
STMARLINIO,2018,2743
STMARLINIO,2019,2995
STMARLINIO,2020,"2,587"
