stockid,year,catch
STMARLINSWPO,1958,543
STMARLINSWPO,1959,391
STMARLINSWPO,1960,398
STMARLINSWPO,1961,306
STMARLINSWPO,1962,15207
STMARLINSWPO,1963,12384
STMARLINSWPO,1964,19389
STMARLINSWPO,1965,16088
STMARLINSWPO,1966,11324
STMARLINSWPO,1967,13147
STMARLINSWPO,1968,13038
STMARLINSWPO,1969,11125
STMARLINSWPO,1970,8778
STMARLINSWPO,1971,8657
STMARLINSWPO,1972,6563
STMARLINSWPO,1973,9561
STMARLINSWPO,1974,8718
STMARLINSWPO,1975,11019
STMARLINSWPO,1976,7660
STMARLINSWPO,1977,7928
STMARLINSWPO,1978,9779
STMARLINSWPO,1979,8117
STMARLINSWPO,1980,8831
STMARLINSWPO,1981,9183
STMARLINSWPO,1982,7533
STMARLINSWPO,1983,6143
STMARLINSWPO,1984,7896
STMARLINSWPO,1985,8625
STMARLINSWPO,1986,10356
STMARLINSWPO,1987,7957
STMARLINSWPO,1988,10493
STMARLINSWPO,1989,8857
STMARLINSWPO,1990,7360
STMARLINSWPO,1991,7076
STMARLINSWPO,1992,6878
STMARLINSWPO,1993,11867
STMARLINSWPO,1994,8013
STMARLINSWPO,1995,8437
STMARLINSWPO,1996,6746
STMARLINSWPO,1997,6027
STMARLINSWPO,1998,8501
STMARLINSWPO,1999,7222
STMARLINSWPO,2000,5649
STMARLINSWPO,2001,6151
STMARLINSWPO,2002,5962
STMARLINSWPO,2003,6625
STMARLINSWPO,2004,6421
STMARLINSWPO,2005,5873
STMARLINSWPO,2006,5526
STMARLINSWPO,2007,4502
STMARLINSWPO,2008,5091
STMARLINSWPO,2009,3804
STMARLINSWPO,2010,4067
STMARLINSWPO,2011,4184
STMARLINSWPO,2012,4507
STMARLINSWPO,2013,3911
STMARLINSWPO,2014,3975
STMARLINSWPO,2015,4469
STMARLINSWPO,2016,3538
STMARLINSWPO,2017,3118
STMARLINSWPO,2018,3022
STMARLINSWPO,2019,3651
STMARLINSWPO,2020,3492
