stockid,year,TCbest
STMARLINWCNPAC,1951,NA
STMARLINWCNPAC,1952,NA
STMARLINWCNPAC,1953,NA
STMARLINWCNPAC,1954,NA
STMARLINWCNPAC,1955,NA
STMARLINWCNPAC,1956,NA
STMARLINWCNPAC,1957,NA
STMARLINWCNPAC,1958,NA
STMARLINWCNPAC,1959,NA
STMARLINWCNPAC,1960,NA
STMARLINWCNPAC,1961,NA
STMARLINWCNPAC,1962,NA
STMARLINWCNPAC,1963,NA
STMARLINWCNPAC,1964,NA
STMARLINWCNPAC,1965,NA
STMARLINWCNPAC,1966,NA
STMARLINWCNPAC,1967,NA
STMARLINWCNPAC,1968,NA
STMARLINWCNPAC,1969,NA
STMARLINWCNPAC,1970,NA
STMARLINWCNPAC,1971,NA
STMARLINWCNPAC,1972,NA
STMARLINWCNPAC,1973,NA
STMARLINWCNPAC,1974,5090
STMARLINWCNPAC,1975,10600
STMARLINWCNPAC,1976,7140
STMARLINWCNPAC,1977,7580
STMARLINWCNPAC,1978,8950
STMARLINWCNPAC,1979,6600
STMARLINWCNPAC,1980,8050
STMARLINWCNPAC,1981,7480
STMARLINWCNPAC,1982,5650
STMARLINWCNPAC,1983,5490
STMARLINWCNPAC,1984,7230
STMARLINWCNPAC,1985,7230
STMARLINWCNPAC,1986,9630
STMARLINWCNPAC,1987,7340
STMARLINWCNPAC,1988,9110
STMARLINWCNPAC,1989,7100
STMARLINWCNPAC,1990,6340
STMARLINWCNPAC,1991,6530
STMARLINWCNPAC,1992,6220
STMARLINWCNPAC,1993,7290
STMARLINWCNPAC,1994,6380
STMARLINWCNPAC,1995,6630
STMARLINWCNPAC,1996,5110
STMARLINWCNPAC,1997,4510
STMARLINWCNPAC,1998,6160
STMARLINWCNPAC,1999,5440
STMARLINWCNPAC,2000,4440
STMARLINWCNPAC,2001,4320
STMARLINWCNPAC,2002,3770
STMARLINWCNPAC,2003,4920
STMARLINWCNPAC,2004,4170
STMARLINWCNPAC,2005,4160
STMARLINWCNPAC,2006,3970
STMARLINWCNPAC,2007,3080
STMARLINWCNPAC,2008,3500
STMARLINWCNPAC,2009,2470
STMARLINWCNPAC,2010,2850
STMARLINWCNPAC,2011,3130
STMARLINWCNPAC,2012,3520
STMARLINWCNPAC,2013,2980
