stockid,year,TCbest
SWORDEPAC,1951,1
SWORDEPAC,1952,1
SWORDEPAC,1953,3
SWORDEPAC,1954,720
SWORDEPAC,1955,414
SWORDEPAC,1956,609
SWORDEPAC,1957,724
SWORDEPAC,1958,480
SWORDEPAC,1959,481
SWORDEPAC,1960,518
SWORDEPAC,1961,827
SWORDEPAC,1962,1360
SWORDEPAC,1963,1790
SWORDEPAC,1964,3970
SWORDEPAC,1965,2020
SWORDEPAC,1966,2230
SWORDEPAC,1967,2840
SWORDEPAC,1968,3170
SWORDEPAC,1969,7150
SWORDEPAC,1970,6420
SWORDEPAC,1971,2320
SWORDEPAC,1972,3230
SWORDEPAC,1973,5460
SWORDEPAC,1974,2370
SWORDEPAC,1975,2210
SWORDEPAC,1976,3310
SWORDEPAC,1977,3050
SWORDEPAC,1978,2630
SWORDEPAC,1979,1900
SWORDEPAC,1980,2800
SWORDEPAC,1981,3770
SWORDEPAC,1982,3440
SWORDEPAC,1983,2180
SWORDEPAC,1984,1500
SWORDEPAC,1985,1210
SWORDEPAC,1986,2710
SWORDEPAC,1987,3670
SWORDEPAC,1988,3520
SWORDEPAC,1989,3110
SWORDEPAC,1990,5970
SWORDEPAC,1991,4340
SWORDEPAC,1992,5240
SWORDEPAC,1993,3980
SWORDEPAC,1994,3760
SWORDEPAC,1995,2990
SWORDEPAC,1996,4160
SWORDEPAC,1997,5880
SWORDEPAC,1998,7520
SWORDEPAC,1999,3360
SWORDEPAC,2000,6150
SWORDEPAC,2001,7370
SWORDEPAC,2002,7090
SWORDEPAC,2003,5750
SWORDEPAC,2004,5880
SWORDEPAC,2005,3480
SWORDEPAC,2006,3240
SWORDEPAC,2007,3700
SWORDEPAC,2008,4260
SWORDEPAC,2009,7470
SWORDEPAC,2010,9630
SWORDEPAC,2011,9590
SWORDEPAC,2012,9910
