stockid,year,catch,,,,,,,
SWORDIO,1950,43.4,,,,,,,
SWORDIO,1951,40.8,,,,,,,
SWORDIO,1952,43.7,,,,,,,
SWORDIO,1953,65,,,,,,,
SWORDIO,1954,211,,,,,,,
SWORDIO,1955,269,,,,,,,
SWORDIO,1956,592,,,,,,,
SWORDIO,1957,412,,,,,,,
SWORDIO,1958,615,,,,,,,
SWORDIO,1959,617,,,,,,,
SWORDIO,1960,711,,,,,,,
SWORDIO,1961,918,,,,,,,
SWORDIO,1962,1080,,,,,,,
SWORDIO,1963,974,,,,,,,
SWORDIO,1964,1180,,,,,,,
SWORDIO,1965,1280,,,,,,,
SWORDIO,1966,1360,,,,,,,
SWORDIO,1967,1810,,,,,,,
SWORDIO,1968,1720,,,,,,,
SWORDIO,1969,1990,,,,,,,
SWORDIO,1970,2470,,,,,,,
SWORDIO,1971,2060,,,,,,,
SWORDIO,1972,1970,,,,,,,
SWORDIO,1973,1600,,,,,,,
SWORDIO,1974,1920,,,,,,,
SWORDIO,1975,2190,,,,,,,
SWORDIO,1976,1950,,,,,,,
SWORDIO,1977,1880,,,,,,,
SWORDIO,1978,2390,,,,,,,
SWORDIO,1979,2580,,,,,,,
SWORDIO,1980,2640,,,,,,,
SWORDIO,1981,2660,,,,,,,
SWORDIO,1982,3510,,,,,,,
SWORDIO,1983,4000,,,,,,,
SWORDIO,1984,3890,,,,,,,
SWORDIO,1985,4980,,,,,,,
SWORDIO,1986,5730,,,,,,,
SWORDIO,1987,6550,,,,,,,
SWORDIO,1988,9160,,,,,,,
SWORDIO,1989,8090,,,,,,,
SWORDIO,1990,8520,,,,,,,
SWORDIO,1991,9350,,,,,,,
SWORDIO,1992,15700,,,,,,,
SWORDIO,1993,25900,,,,,,,
SWORDIO,1994,27400,,,,,,,
SWORDIO,1995,32000,,,,,,,
SWORDIO,1996,36200,,,,,,,
SWORDIO,1997,35800,,,,,,,
SWORDIO,1998,38100,,,,,,,
SWORDIO,1999,36000,,,,,,,
SWORDIO,2000,35400,,,,,,,
SWORDIO,2001,32400,,,,,,,
SWORDIO,2002,33400,,,,,,,
SWORDIO,2003,38000,,,,,,,
SWORDIO,2004,40200,,,,,,,
SWORDIO,2005,35700,,,,,,,
SWORDIO,2006,32900,,,,,,,
SWORDIO,2007,30200,,,,,,,
SWORDIO,2008,24600,,,,,,,
SWORDIO,2009,24700,,,,,,,
SWORDIO,2010,24900,,,,,,,
SWORDIO,2011,21400,,,,,,,
SWORDIO,2012,26800,,,,,,,
SWORDIO,2013,30100,,,,,,,
SWORDIO,2014,27300,,,,,,,
SWORDIO,2015,31400,,,,,,,
SWORDIO,2016,30800,,,,,,,
SWORDIO,2017,33000,,,,,,,
SWORDIO,2018,30600,,,,,,,
SWORDIO,2019,"33,700",,,,,,,
SWORDIO,2020,"26,005",,,,,,,
