stockid,year,TCbest
SWORDMED,1950,586
SWORDMED,1951,580
SWORDMED,1952,337
SWORDMED,1953,0
SWORDMED,1954,452
SWORDMED,1955,340
SWORDMED,1956,393
SWORDMED,1957,250
SWORDMED,1958,914
SWORDMED,1959,200
SWORDMED,1960,112
SWORDMED,1961,206
SWORDMED,1962,300
SWORDMED,1963,318
SWORDMED,1964,394
SWORDMED,1965,1760
SWORDMED,1966,1750
SWORDMED,1967,1320
SWORDMED,1968,3440
SWORDMED,1969,3720
SWORDMED,1970,3340
SWORDMED,1971,4980
SWORDMED,1972,5970
SWORDMED,1973,4810
SWORDMED,1974,5040
SWORDMED,1975,4310
SWORDMED,1976,4640
SWORDMED,1977,5290
SWORDMED,1978,5970
SWORDMED,1979,5550
SWORDMED,1980,6580
SWORDMED,1981,6810
SWORDMED,1982,6340
SWORDMED,1983,6900
SWORDMED,1984,13700
SWORDMED,1985,15300
SWORDMED,1986,16800
SWORDMED,1987,18300
SWORDMED,1988,20400
SWORDMED,1989,17800
SWORDMED,1990,16000
SWORDMED,1991,15700
SWORDMED,1992,14700
SWORDMED,1993,13300
SWORDMED,1994,16100
SWORDMED,1995,13000
SWORDMED,1996,12100
SWORDMED,1997,14700
SWORDMED,1998,14400
SWORDMED,1999,13700
SWORDMED,2000,15600
SWORDMED,2001,15000
SWORDMED,2002,12800
SWORDMED,2003,15700
SWORDMED,2004,14400
SWORDMED,2005,14600
SWORDMED,2006,14900
SWORDMED,2007,14200
SWORDMED,2008,13683
SWORDMED,2009,13235
SWORDMED,2010,14754
SWORDMED,2011,12640
SWORDMED,2012,11046
SWORDMED,2013,10070
SWORDMED,2014,10969
SWORDMED,2015,11983
SWORDMED,2016,12300
SWORDMED,2017,10390
SWORDMED,2018,8677
SWORDMED,2019,8150
