stockid,year,TCbest
SWORDNPAC,1951,11700
SWORDNPAC,1952,11700
SWORDNPAC,1953,12400
SWORDNPAC,1954,13600
SWORDNPAC,1955,14100
SWORDNPAC,1956,15500
SWORDNPAC,1957,15200
SWORDNPAC,1958,19700
SWORDNPAC,1959,18700
SWORDNPAC,1960,22000
SWORDNPAC,1961,21200
SWORDNPAC,1962,12000
SWORDNPAC,1963,10900
SWORDNPAC,1964,7150
SWORDNPAC,1965,10100
SWORDNPAC,1966,11200
SWORDNPAC,1967,11700
SWORDNPAC,1968,10700
SWORDNPAC,1969,10300
SWORDNPAC,1970,9040
SWORDNPAC,1971,7440
SWORDNPAC,1972,6750
SWORDNPAC,1973,7520
SWORDNPAC,1974,8430
SWORDNPAC,1975,11000
SWORDNPAC,1976,12000
SWORDNPAC,1977,12200
SWORDNPAC,1978,13600
SWORDNPAC,1979,11500
SWORDNPAC,1980,10200
SWORDNPAC,1981,10800
SWORDNPAC,1982,9760
SWORDNPAC,1983,12300
SWORDNPAC,1984,13300
SWORDNPAC,1985,15800
SWORDNPAC,1986,13800
SWORDNPAC,1987,14100
SWORDNPAC,1988,13000
SWORDNPAC,1989,11800
SWORDNPAC,1990,12500
SWORDNPAC,1991,13000
SWORDNPAC,1992,18300
SWORDNPAC,1993,19200
SWORDNPAC,1994,15300
SWORDNPAC,1995,13700
SWORDNPAC,1996,12900
SWORDNPAC,1997,13900
SWORDNPAC,1998,13800
SWORDNPAC,1999,14200
SWORDNPAC,2000,17100
SWORDNPAC,2001,13800
SWORDNPAC,2002,13700
SWORDNPAC,2003,13500
SWORDNPAC,2004,13300
SWORDNPAC,2005,14200
SWORDNPAC,2006,15100
SWORDNPAC,2007,15800
SWORDNPAC,2008,13600
SWORDNPAC,2009,12400
SWORDNPAC,2010,10700
SWORDNPAC,2011,9460
SWORDNPAC,2012,9860
