stockid,year,TCbest
SWORDSATL,1950,100
SWORDSATL,1951,200
SWORDSATL,1952,200
SWORDSATL,1953,200
SWORDSATL,1954,100
SWORDSATL,1955,100
SWORDSATL,1956,1
SWORDSATL,1957,224
SWORDSATL,1958,92
SWORDSATL,1959,171
SWORDSATL,1960,459
SWORDSATL,1961,1020
SWORDSATL,1962,769
SWORDSATL,1963,1420
SWORDSATL,1964,2030
SWORDSATL,1965,2580
SWORDSATL,1966,1950
SWORDSATL,1967,1580
SWORDSATL,1968,2450
SWORDSATL,1969,4480
SWORDSATL,1970,5430
SWORDSATL,1971,2170
SWORDSATL,1972,2580
SWORDSATL,1973,3080
SWORDSATL,1974,2750
SWORDSATL,1975,3060
SWORDSATL,1976,2810
SWORDSATL,1977,2860
SWORDSATL,1978,2770
SWORDSATL,1979,3290
SWORDSATL,1980,5320
SWORDSATL,1981,3980
SWORDSATL,1982,6450
SWORDSATL,1983,5400
SWORDSATL,1984,9160
SWORDSATL,1985,9590
SWORDSATL,1986,5890
SWORDSATL,1987,6030
SWORDSATL,1988,13200
SWORDSATL,1989,17100
SWORDSATL,1990,17300
SWORDSATL,1991,13900
SWORDSATL,1992,13800
SWORDSATL,1993,16100
SWORDSATL,1994,19000
SWORDSATL,1995,21900
SWORDSATL,1996,18300
SWORDSATL,1997,18500
SWORDSATL,1998,14000
SWORDSATL,1999,15500
SWORDSATL,2000,15700
SWORDSATL,2001,15100
SWORDSATL,2002,14100
SWORDSATL,2003,12600
SWORDSATL,2004,13100
SWORDSATL,2005,13200
SWORDSATL,2006,14200
SWORDSATL,2007,15600
SWORDSATL,2008,12500
SWORDSATL,2009,12700
SWORDSATL,2010,12700
SWORDSATL,2011,11400
SWORDSATL,2012,10500
SWORDSATL,2013,9169
SWORDSATL,2014,9956
SWORDSATL,2015,10338
SWORDSATL,2016,10658
SWORDSATL,2017,10556
SWORDSATL,2018,10404
