stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
ALBAIO,Albacore tuna Indian Ocean,1950,2.22e-4,NA,NA,4.88,NA,8.15,NA,146000,NA,2.22e-4,multinational
ALBAIO,Albacore tuna Indian Ocean,1951,6e-4,NA,NA,4.88,NA,18.4,NA,146000,NA,6e-4,multinational
ALBAIO,Albacore tuna Indian Ocean,1952,0.0011,NA,NA,4.88,NA,80,NA,146000,NA,0.0011,multinational
ALBAIO,Albacore tuna Indian Ocean,1953,0.0089,NA,NA,4.87,NA,1110,NA,146000,NA,0.0089,multinational
ALBAIO,Albacore tuna Indian Ocean,1954,0.0228,NA,NA,4.84,NA,2850,NA,145000,NA,0.0228,multinational
ALBAIO,Albacore tuna Indian Ocean,1955,0.0267,NA,NA,4.81,NA,3360,NA,144000,NA,0.0267,multinational
ALBAIO,Albacore tuna Indian Ocean,1956,0.0437,NA,NA,4.76,NA,5630,NA,143000,NA,0.0437,multinational
ALBAIO,Albacore tuna Indian Ocean,1957,0.042,NA,NA,4.72,NA,5340,NA,142000,NA,0.042,multinational
ALBAIO,Albacore tuna Indian Ocean,1958,0.0643,NA,NA,4.69,NA,7300,NA,141000,NA,0.0643,multinational
ALBAIO,Albacore tuna Indian Ocean,1959,0.112,NA,NA,4.61,NA,11700,NA,138000,NA,0.112,multinational
ALBAIO,Albacore tuna Indian Ocean,1960,0.128,NA,NA,4.5,NA,12100,NA,135000,NA,0.128,multinational
ALBAIO,Albacore tuna Indian Ocean,1961,0.17,NA,NA,4.43,NA,16600,NA,133000,NA,0.17,multinational
ALBAIO,Albacore tuna Indian Ocean,1962,0.229,NA,NA,4.24,NA,19000,NA,127000,NA,0.229,multinational
ALBAIO,Albacore tuna Indian Ocean,1963,0.169,NA,NA,4.16,NA,14200,NA,125000,NA,0.169,multinational
ALBAIO,Albacore tuna Indian Ocean,1964,0.24,NA,NA,4.07,NA,19400,NA,122000,NA,0.24,multinational
ALBAIO,Albacore tuna Indian Ocean,1965,0.154,NA,NA,3.99,NA,13000,NA,120000,NA,0.154,multinational
ALBAIO,Albacore tuna Indian Ocean,1966,0.192,NA,NA,3.95,NA,15500,NA,119000,NA,0.192,multinational
