stockid,year,catch
ALBASPAC,1952,154
ALBASPAC,1953,803
ALBASPAC,1954,9578
ALBASPAC,1955,8625
ALBASPAC,1956,7281
ALBASPAC,1957,8757
ALBASPAC,1958,18636
ALBASPAC,1959,17841
ALBASPAC,1960,22293
ALBASPAC,1961,23742
ALBASPAC,1962,35219
ALBASPAC,1963,31111
ALBASPAC,1964,22824
ALBASPAC,1965,25455
ALBASPAC,1966,38661
ALBASPAC,1967,43957
ALBASPAC,1968,32382
ALBASPAC,1969,24805
ALBASPAC,1970,34925
ALBASPAC,1971,38630
ALBASPAC,1972,39521
ALBASPAC,1973,47330
ALBASPAC,1974,34049
ALBASPAC,1975,23600
ALBASPAC,1976,29082
ALBASPAC,1977,38740
ALBASPAC,1978,34676
ALBASPAC,1979,27076
ALBASPAC,1980,32541
ALBASPAC,1981,34784
ALBASPAC,1982,30788
ALBASPAC,1983,25092
ALBASPAC,1984,24704
ALBASPAC,1985,32328
ALBASPAC,1986,36590
ALBASPAC,1987,25052
ALBASPAC,1988,37867
ALBASPAC,1989,49076
ALBASPAC,1990,36062
ALBASPAC,1991,35600
ALBASPAC,1992,38668
ALBASPAC,1993,35438
ALBASPAC,1994,42318
ALBASPAC,1995,38475
ALBASPAC,1996,34402
ALBASPAC,1997,39490
ALBASPAC,1998,50575
ALBASPAC,1999,39674
ALBASPAC,2000,48461
ALBASPAC,2001,63690
ALBASPAC,2002,75274
ALBASPAC,2003,64137
ALBASPAC,2004,63514
ALBASPAC,2005,64754
ALBASPAC,2006,65439
ALBASPAC,2007,59370
ALBASPAC,2008,63503
ALBASPAC,2009,84414
ALBASPAC,2010,90849
ALBASPAC,2011,66465
ALBASPAC,2012,89884
ALBASPAC,2013,87982
ALBASPAC,2014,82842
ALBASPAC,2015,83609
ALBASPAC,2016,72512
ALBASPAC,2017,94504
ALBASPAC,2018,83359
ALBASPAC,2019,86083
ALBASPAC,2020,71949
