"","stockid","year","catch","rfmo","tax_grp"
"1","ALBAIO",1950,8.15,"IOTC","tuna"
"2","ALBAIO",1951,18.4,"IOTC","tuna"
"3","ALBAIO",1952,80,"IOTC","tuna"
"4","ALBAIO",1953,1110,"IOTC","tuna"
"5","ALBAIO",1954,2850,"IOTC","tuna"
"6","ALBAIO",1955,3360,"IOTC","tuna"
"7","ALBAIO",1956,5630,"IOTC","tuna"
"8","ALBAIO",1957,5340,"IOTC","tuna"
"9","ALBAIO",1958,7300,"IOTC","tuna"
"10","ALBAIO",1959,11700,"IOTC","tuna"
"11","ALBAIO",1960,12100,"IOTC","tuna"
"12","ALBAIO",1961,16600,"IOTC","tuna"
"13","ALBAIO",1962,19000,"IOTC","tuna"
"14","ALBAIO",1963,14200,"IOTC","tuna"
"15","ALBAIO",1964,19400,"IOTC","tuna"
"16","ALBAIO",1965,13000,"IOTC","tuna"
"17","ALBAIO",1966,15500,"IOTC","tuna"
"18","ALBAIO",1967,21900,"IOTC","tuna"
"19","ALBAIO",1968,18300,"IOTC","tuna"
"20","ALBAIO",1969,20300,"IOTC","tuna"
"21","ALBAIO",1970,13400,"IOTC","tuna"
"22","ALBAIO",1971,12500,"IOTC","tuna"
"23","ALBAIO",1972,12000,"IOTC","tuna"
"24","ALBAIO",1973,22800,"IOTC","tuna"
"25","ALBAIO",1974,29500,"IOTC","tuna"
"26","ALBAIO",1975,11000,"IOTC","tuna"
"27","ALBAIO",1976,15000,"IOTC","tuna"
"28","ALBAIO",1977,11900,"IOTC","tuna"
"29","ALBAIO",1978,18100,"IOTC","tuna"
"30","ALBAIO",1979,18100,"IOTC","tuna"
"31","ALBAIO",1980,14000,"IOTC","tuna"
"32","ALBAIO",1981,15100,"IOTC","tuna"
"33","ALBAIO",1982,25300,"IOTC","tuna"
"34","ALBAIO",1983,20300,"IOTC","tuna"
"35","ALBAIO",1984,17800,"IOTC","tuna"
"36","ALBAIO",1985,11500,"IOTC","tuna"
"37","ALBAIO",1986,33900,"IOTC","tuna"
"38","ALBAIO",1987,31900,"IOTC","tuna"
"39","ALBAIO",1988,30500,"IOTC","tuna"
"40","ALBAIO",1989,22000,"IOTC","tuna"
"41","ALBAIO",1990,36000,"IOTC","tuna"
"42","ALBAIO",1991,30300,"IOTC","tuna"
"43","ALBAIO",1992,23000,"IOTC","tuna"
"44","ALBAIO",1993,20600,"IOTC","tuna"
"45","ALBAIO",1994,26500,"IOTC","tuna"
"46","ALBAIO",1995,25000,"IOTC","tuna"
"47","ALBAIO",1996,32300,"IOTC","tuna"
"48","ALBAIO",1997,29800,"IOTC","tuna"
"49","ALBAIO",1998,40600,"IOTC","tuna"
"50","ALBAIO",1999,40300,"IOTC","tuna"
"51","ALBAIO",2000,40200,"IOTC","tuna"
"52","ALBAIO",2001,46100,"IOTC","tuna"
"53","ALBAIO",2002,37000,"IOTC","tuna"
"54","ALBAIO",2003,28700,"IOTC","tuna"
"55","ALBAIO",2004,29800,"IOTC","tuna"
"56","ALBAIO",2005,29200,"IOTC","tuna"
"57","ALBAIO",2006,29700,"IOTC","tuna"
"58","ALBAIO",2007,38500,"IOTC","tuna"
"59","ALBAIO",2008,35800,"IOTC","tuna"
"60","ALBAIO",2009,38100,"IOTC","tuna"
"61","ALBAIO",2010,43900,"IOTC","tuna"
"62","ALBAIO",2011,33600,"IOTC","tuna"
"63","ALBAIO",2012,33400,"IOTC","tuna"
"64","ALBAIO",2013,32600,"IOTC","tuna"
"65","ALBAIO",2014,39400,"IOTC","tuna"
"66","ALBAIO",2015,34200,"IOTC","tuna"
"67","ALBAIO",2016,36000,"IOTC","tuna"
"68","ALBAIO",2017,38900,"IOTC","tuna"
"69","ALBAIO",2018,41400,"IOTC","tuna"
"70","ALBAIO",2019,39876,"IOTC","tuna"
"71","ALBAIO",2020,38082,"IOTC","tuna"
"72","ALBAMED",1950,0,"ICCAT","tuna"
"73","ALBAMED",1951,0,"ICCAT","tuna"
"74","ALBAMED",1952,0,"ICCAT","tuna"
"75","ALBAMED",1953,0,"ICCAT","tuna"
"76","ALBAMED",1954,0,"ICCAT","tuna"
"77","ALBAMED",1955,0,"ICCAT","tuna"
"78","ALBAMED",1956,0,"ICCAT","tuna"
"79","ALBAMED",1957,1700,"ICCAT","tuna"
"80","ALBAMED",1958,2900,"ICCAT","tuna"
"81","ALBAMED",1959,2900,"ICCAT","tuna"
"82","ALBAMED",1960,1300,"ICCAT","tuna"
"83","ALBAMED",1961,1400,"ICCAT","tuna"
"84","ALBAMED",1962,1200,"ICCAT","tuna"
"85","ALBAMED",1963,1600,"ICCAT","tuna"
"86","ALBAMED",1964,1600,"ICCAT","tuna"
"87","ALBAMED",1965,2200,"ICCAT","tuna"
"88","ALBAMED",1966,3000,"ICCAT","tuna"
"89","ALBAMED",1967,2300,"ICCAT","tuna"
"90","ALBAMED",1968,2600,"ICCAT","tuna"
"91","ALBAMED",1969,3400,"ICCAT","tuna"
"92","ALBAMED",1970,500,"ICCAT","tuna"
"93","ALBAMED",1971,500,"ICCAT","tuna"
"94","ALBAMED",1972,701,"ICCAT","tuna"
"95","ALBAMED",1973,500,"ICCAT","tuna"
"96","ALBAMED",1974,500,"ICCAT","tuna"
"97","ALBAMED",1975,500,"ICCAT","tuna"
"98","ALBAMED",1976,561,"ICCAT","tuna"
"99","ALBAMED",1977,613,"ICCAT","tuna"
"100","ALBAMED",1978,590,"ICCAT","tuna"
"101","ALBAMED",1979,833,"ICCAT","tuna"
"102","ALBAMED",1980,500,"ICCAT","tuna"
"103","ALBAMED",1981,1500,"ICCAT","tuna"
"104","ALBAMED",1982,1272,"ICCAT","tuna"
"105","ALBAMED",1983,1235,"ICCAT","tuna"
"106","ALBAMED",1984,3451,"ICCAT","tuna"
"107","ALBAMED",1985,4129,"ICCAT","tuna"
"108","ALBAMED",1986,3712,"ICCAT","tuna"
"109","ALBAMED",1987,3995.565,"ICCAT","tuna"
"110","ALBAMED",1988,4063,"ICCAT","tuna"
"111","ALBAMED",1989,4060,"ICCAT","tuna"
"112","ALBAMED",1990,1896,"ICCAT","tuna"
"113","ALBAMED",1991,2379.09,"ICCAT","tuna"
"114","ALBAMED",1992,2202,"ICCAT","tuna"
"115","ALBAMED",1993,2137.728,"ICCAT","tuna"
"116","ALBAMED",1994,1349,"ICCAT","tuna"
"117","ALBAMED",1995,1587.1,"ICCAT","tuna"
"118","ALBAMED",1996,3150.369,"ICCAT","tuna"
"119","ALBAMED",1997,2540.875,"ICCAT","tuna"
"120","ALBAMED",1998,2697.665,"ICCAT","tuna"
"121","ALBAMED",1999,4856.277,"ICCAT","tuna"
"122","ALBAMED",2000,5576.957,"ICCAT","tuna"
"123","ALBAMED",2001,4870.24,"ICCAT","tuna"
"124","ALBAMED",2002,5607.733,"ICCAT","tuna"
"125","ALBAMED",2003,7898.464,"ICCAT","tuna"
"126","ALBAMED",2004,4874.157,"ICCAT","tuna"
"127","ALBAMED",2005,3529.029,"ICCAT","tuna"
"128","ALBAMED",2006,5964.747,"ICCAT","tuna"
"129","ALBAMED",2007,6519.887,"ICCAT","tuna"
"130","ALBAMED",2008,2969.583,"ICCAT","tuna"
"131","ALBAMED",2009,4023.841,"ICCAT","tuna"
"132","ALBAMED",2010,2123.715,"ICCAT","tuna"
