stockid,year,TCbest
ATBTUNAEATL,1950,NA
ATBTUNAEATL,1951,23000
ATBTUNAEATL,1952,32600
ATBTUNAEATL,1953,31300
ATBTUNAEATL,1954,29300
ATBTUNAEATL,1955,36800
ATBTUNAEATL,1956,24600
ATBTUNAEATL,1957,28500
ATBTUNAEATL,1958,26400
ATBTUNAEATL,1959,20300
ATBTUNAEATL,1960,19800
ATBTUNAEATL,1961,21700
ATBTUNAEATL,1962,24100
ATBTUNAEATL,1963,9310
ATBTUNAEATL,1964,10900
ATBTUNAEATL,1965,11000
ATBTUNAEATL,1966,9650
ATBTUNAEATL,1967,10800
ATBTUNAEATL,1968,5080
ATBTUNAEATL,1969,6250
ATBTUNAEATL,1970,6010
ATBTUNAEATL,1971,4810
ATBTUNAEATL,1972,4830
ATBTUNAEATL,1973,4860
ATBTUNAEATL,1974,6170
ATBTUNAEATL,1975,10200
ATBTUNAEATL,1976,5280
ATBTUNAEATL,1977,7150
ATBTUNAEATL,1978,6200
ATBTUNAEATL,1979,4860
ATBTUNAEATL,1980,4000
ATBTUNAEATL,1981,3580
ATBTUNAEATL,1982,6690
ATBTUNAEATL,1983,8060
ATBTUNAEATL,1984,7430
ATBTUNAEATL,1985,4810
ATBTUNAEATL,1986,4690
ATBTUNAEATL,1987,4450
ATBTUNAEATL,1988,6950
ATBTUNAEATL,1989,5450
ATBTUNAEATL,1990,6310
ATBTUNAEATL,1991,6540
ATBTUNAEATL,1992,7400
ATBTUNAEATL,1993,9320
ATBTUNAEATL,1994,7050
ATBTUNAEATL,1995,9780
ATBTUNAEATL,1996,12100
ATBTUNAEATL,1997,16400
ATBTUNAEATL,1998,11600
ATBTUNAEATL,1999,10200
ATBTUNAEATL,2000,10100
ATBTUNAEATL,2001,10100
ATBTUNAEATL,2002,10300
ATBTUNAEATL,2003,7400
ATBTUNAEATL,2004,7410
ATBTUNAEATL,2005,9040
ATBTUNAEATL,2006,7800
ATBTUNAEATL,2007,8440
ATBTUNAEATL,2008,8240
ATBTUNAEATL,2009,6680
ATBTUNAEATL,2010,4380
ATBTUNAEATL,2011,3980
ATBTUNAEATL,2012,3830
ATBTUNAEATL,2013,4160
ATBTUNAEATL,2014,3920
ATBTUNAEATL,2015,4840
ATBTUNAEATL,2016,6940
