stockid,year,TCbest
BIGEYEATL,1950,NA
BIGEYEATL,1951,1650
BIGEYEATL,1952,2020
BIGEYEATL,1953,2950
BIGEYEATL,1954,2930
BIGEYEATL,1955,4810
BIGEYEATL,1956,2780
BIGEYEATL,1957,8720
BIGEYEATL,1958,4290
BIGEYEATL,1959,7730
BIGEYEATL,1960,9110
BIGEYEATL,1961,17100
BIGEYEATL,1962,23100
BIGEYEATL,1963,26000
BIGEYEATL,1964,23600
BIGEYEATL,1965,39400
BIGEYEATL,1966,25400
BIGEYEATL,1967,25300
BIGEYEATL,1968,23900
BIGEYEATL,1969,36900
BIGEYEATL,1970,42400
BIGEYEATL,1971,55900
BIGEYEATL,1972,47300
BIGEYEATL,1973,57000
BIGEYEATL,1974,64100
BIGEYEATL,1975,61300
BIGEYEATL,1976,45300
BIGEYEATL,1977,54900
BIGEYEATL,1978,52700
BIGEYEATL,1979,46000
BIGEYEATL,1980,63600
BIGEYEATL,1981,67900
BIGEYEATL,1982,73700
BIGEYEATL,1983,59600
BIGEYEATL,1984,71100
BIGEYEATL,1985,78300
BIGEYEATL,1986,65400
BIGEYEATL,1987,57400
BIGEYEATL,1988,66400
BIGEYEATL,1989,78700
BIGEYEATL,1990,85300
BIGEYEATL,1991,97200
BIGEYEATL,1992,100000
BIGEYEATL,1993,114000
BIGEYEATL,1994,135000
BIGEYEATL,1995,128000
BIGEYEATL,1996,121000
BIGEYEATL,1997,110000
BIGEYEATL,1998,108000
BIGEYEATL,1999,122000
BIGEYEATL,2000,104000
BIGEYEATL,2001,91200
BIGEYEATL,2002,75700
BIGEYEATL,2003,87700
BIGEYEATL,2004,90500
BIGEYEATL,2005,68000
BIGEYEATL,2006,58900
BIGEYEATL,2007,75100
BIGEYEATL,2008,67700
BIGEYEATL,2009,80400
BIGEYEATL,2010,80500
BIGEYEATL,2011,83000
BIGEYEATL,2012,75900
BIGEYEATL,2013,73200
BIGEYEATL,2014,78200
BIGEYEATL,2015,80100
BIGEYEATL,2016,72400
