stockid,year,catch
BIGEYECWPAC,1950,18890
BIGEYECWPAC,1951,14632
BIGEYECWPAC,1952,27494
BIGEYECWPAC,1953,26044
BIGEYECWPAC,1954,18664
BIGEYECWPAC,1955,29034
BIGEYECWPAC,1956,33650
BIGEYECWPAC,1957,40712
BIGEYECWPAC,1958,50242
BIGEYECWPAC,1959,42803
BIGEYECWPAC,1960,45025
BIGEYECWPAC,1961,39380
BIGEYECWPAC,1962,36868
BIGEYECWPAC,1963,44346
BIGEYECWPAC,1964,32380
BIGEYECWPAC,1965,31329
BIGEYECWPAC,1966,33152
BIGEYECWPAC,1967,35909
BIGEYECWPAC,1968,29869
BIGEYECWPAC,1969,35832
BIGEYECWPAC,1970,41085
BIGEYECWPAC,1971,42581
BIGEYECWPAC,1972,55457
BIGEYECWPAC,1973,46762
BIGEYECWPAC,1974,48892
BIGEYECWPAC,1975,65449
BIGEYECWPAC,1976,78299
BIGEYECWPAC,1977,78221
BIGEYECWPAC,1978,61102
BIGEYECWPAC,1979,68039
BIGEYECWPAC,1980,68051
BIGEYECWPAC,1981,62093
BIGEYECWPAC,1982,74048
BIGEYECWPAC,1983,78998
BIGEYECWPAC,1984,84188
BIGEYECWPAC,1985,84333
BIGEYECWPAC,1986,101300
BIGEYECWPAC,1987,105294
BIGEYECWPAC,1988,92649
BIGEYECWPAC,1989,100824
BIGEYECWPAC,1990,124342
BIGEYECWPAC,1991,107727
BIGEYECWPAC,1992,131196
BIGEYECWPAC,1993,113424
BIGEYECWPAC,1994,124623
BIGEYECWPAC,1995,110376
BIGEYECWPAC,1996,107153
BIGEYECWPAC,1997,133740
BIGEYECWPAC,1998,152607
BIGEYECWPAC,1999,163186
BIGEYECWPAC,2000,149248
BIGEYECWPAC,2001,135601
BIGEYECWPAC,2002,158936
BIGEYECWPAC,2003,143931
BIGEYECWPAC,2004,182945
BIGEYECWPAC,2005,155709
BIGEYECWPAC,2006,165069
BIGEYECWPAC,2007,165153
BIGEYECWPAC,2008,171318
BIGEYECWPAC,2009,169168
BIGEYECWPAC,2010,139927
BIGEYECWPAC,2011,168273
BIGEYECWPAC,2012,167341
BIGEYECWPAC,2013,154882
BIGEYECWPAC,2014,169029
BIGEYECWPAC,2015,145722
BIGEYECWPAC,2016,156681
BIGEYECWPAC,2017,130535
BIGEYECWPAC,2018,151569
BIGEYECWPAC,2019,131193
BIGEYECWPAC,2020,148371
