stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
BLSHARNPAC,Blue shark North Pacific Ocean,1971,NA,NA,NA,NA,NA,46000,NA,424000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1972,0.563,NA,NA,1.57,NA,42800,NA,424000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1973,0.62,NA,NA,1.55,NA,45100,NA,428000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1974,0.64,NA,NA,1.55,NA,43400,NA,426000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1975,0.676,NA,NA,1.55,NA,61900,NA,428000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1976,0.851,NA,NA,1.56,NA,74400,NA,430000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1977,0.964,NA,NA,1.56,NA,88300,NA,431000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1978,1.07,NA,NA,1.57,NA,85700,NA,431000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1979,1.1,NA,NA,1.55,NA,92400,NA,426000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1980,1.15,NA,NA,1.54,NA,106000,NA,420000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1981,2.19,NA,NA,1.52,NA,115000,NA,415000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1982,2.04,NA,NA,1.49,NA,99100,NA,409000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1983,2.09,NA,NA,1.48,NA,87500,NA,407000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1984,2.07,NA,NA,1.46,NA,82900,NA,402000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1985,2.11,NA,NA,1.43,NA,77100,NA,394000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1986,2.21,NA,NA,1.39,NA,71100,NA,385000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1987,2.14,NA,NA,1.36,NA,63400,NA,371000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1988,2.21,NA,NA,1.31,NA,70100,NA,360000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1989,2.93,NA,NA,1.27,NA,78700,NA,349000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1990,1.69,NA,NA,1.22,NA,66200,NA,334000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1991,1.66,NA,NA,1.18,NA,60900,NA,325000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1992,1.16,NA,NA,1.13,NA,53700,NA,314000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1993,0.807,NA,NA,1.1,NA,53500,NA,304000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1994,0.653,NA,NA,1.09,NA,50000,NA,299000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1995,0.612,NA,NA,1.08,NA,54600,NA,301000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1996,0.53,NA,NA,1.12,NA,50400,NA,310000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1997,0.566,NA,NA,1.16,NA,52700,NA,319000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1998,0.546,NA,NA,1.21,NA,51800,NA,333000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,1999,0.49,NA,NA,1.27,NA,50400,NA,348000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2000,0.588,NA,NA,1.32,NA,56600,NA,357000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2001,0.526,NA,NA,1.37,NA,51800,NA,374000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2002,0.485,NA,NA,1.42,NA,44800,NA,386000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2003,0.486,NA,NA,1.46,NA,44100,NA,403000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2004,0.542,NA,NA,1.5,NA,50800,NA,410000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2005,0.599,NA,NA,1.53,NA,52900,NA,419000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2006,0.537,NA,NA,1.55,NA,49900,NA,423000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2007,0.532,NA,NA,1.56,NA,49200,NA,426000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2008,0.471,NA,NA,1.56,NA,45500,NA,430000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2009,0.502,NA,NA,1.58,NA,45700,NA,434000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2010,0.481,NA,NA,1.6,NA,48900,NA,437000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2011,0.358,NA,NA,1.62,NA,41300,NA,443000,NA,NA,Multinational
BLSHARNPAC,Blue shark North Pacific Ocean,2012,NA,NA,NA,NA,NA,37300,NA,NA,NA,NA,Multinational
