stockid,year,catch,,,,,,,,
PACBTUNA,1952,"19,162",,,,,,,,
PACBTUNA,1953,"20,110",,,,,,,,
PACBTUNA,1954,"28,547",,,,,,,,
PACBTUNA,1955,"31,988",,,,,,,,
PACBTUNA,1956,"40,144",,,,,,,,
PACBTUNA,1957,"36,543",,,,,,,,
PACBTUNA,1958,"28,584",,,,,,,,
PACBTUNA,1959,"19,974",,,,,,,,
PACBTUNA,1960,"25,885",,,,,,,,
PACBTUNA,1961,"30,810",,,,,,,,
PACBTUNA,1962,"32,782",,,,,,,,
PACBTUNA,1963,"35,031",,,,,,,,
PACBTUNA,1964,"28,517",,,,,,,,
PACBTUNA,1965,"27,030",,,,,,,,
PACBTUNA,1966,"30,986",,,,,,,,
PACBTUNA,1967,"20,701",,,,,,,,
PACBTUNA,1968,"21,615",,,,,,,,
PACBTUNA,1969,"16,400",,,,,,,,
PACBTUNA,1970,"11,422",,,,,,,,
PACBTUNA,1971,"17,088",,,,,,,,
PACBTUNA,1972,"21,190",,,,,,,,
PACBTUNA,1973,"19,560",,,,,,,,
PACBTUNA,1974,"20,641",,,,,,,,
PACBTUNA,1975,"20,910",,,,,,,,
PACBTUNA,1976,"19,303",,,,,,,,
PACBTUNA,1977,"18,789",,,,,,,,
PACBTUNA,1978,"26,858",,,,,,,,
PACBTUNA,1979,"31,679",,,,,,,,
PACBTUNA,1980,"22,594",,,,,,,,
PACBTUNA,1981,"34,612",,,,,,,,
PACBTUNA,1982,"29,375",,,,,,,,
PACBTUNA,1983,"20,631",,,,,,,,
PACBTUNA,1984,"11,551",,,,,,,,
PACBTUNA,1985,"16,078",,,,,,,,
PACBTUNA,1986,"19,252",,,,,,,,
PACBTUNA,1987,"15,488",,,,,,,,
PACBTUNA,1988,"8,960",,,,,,,,
PACBTUNA,1989,"10,912",,,,,,,,
PACBTUNA,1990,"8,585",,,,,,,,
PACBTUNA,1991,"15,759",,,,,,,,
PACBTUNA,1992,"13,977",,,,,,,,
PACBTUNA,1993,"10,781",,,,,,,,
PACBTUNA,1994,"16,891",,,,,,,,
PACBTUNA,1995,"29,200",,,,,,,,
PACBTUNA,1996,"23,505",,,,,,,,
PACBTUNA,1997,"24,579",,,,,,,,
PACBTUNA,1998,"15,754",,,,,,,,
PACBTUNA,1999,"29,136",,,,,,,,
PACBTUNA,2000,"33,946",,,,,,,,
PACBTUNA,2001,"18,781",,,,,,,,
PACBTUNA,2002,"19,026",,,,,,,,
PACBTUNA,2003,"18,528",,,,,,,,
PACBTUNA,2004,"25,536",,,,,,,,
PACBTUNA,2005,"29,174",,,,,,,,
PACBTUNA,2006,"26,234",,,,,,,,
PACBTUNA,2007,"20,720",,,,,,,,
PACBTUNA,2008,"24,523",,,,,,,,
PACBTUNA,2009,"19,440",,,,,,,,
PACBTUNA,2010,"17,852",,,,,,,,
PACBTUNA,2011,"17,068",,,,,,,,
PACBTUNA,2012,"14,841",,,,,,,,
PACBTUNA,2013,"11,324",,,,,,,,
PACBTUNA,2014,"17,099",,,,,,,,
PACBTUNA,2015,"11,221",,,,,,,,
PACBTUNA,2016,"13,275",,,,,,,,
PACBTUNA,2017,"14,732",,,,,,,,
PACBTUNA,2018,"10,186",,,,,,,,
PACBTUNA,2019,"11,557",,,,,,,,
PACBTUNA,2020,"13,779",,,,,,,,
