stockid,year,catch
SKJCIO,1950,10800
SKJCIO,1951,13700
SKJCIO,1952,13500
SKJCIO,1953,14300
SKJCIO,1954,15100
SKJCIO,1955,15300
SKJCIO,1956,16000
SKJCIO,1957,17700
SKJCIO,1958,16800
SKJCIO,1959,16900
SKJCIO,1960,16700
SKJCIO,1961,16600
SKJCIO,1962,18900
SKJCIO,1963,21300
SKJCIO,1964,22300
SKJCIO,1965,28500
SKJCIO,1966,33700
SKJCIO,1967,36200
SKJCIO,1968,35900
SKJCIO,1969,38500
SKJCIO,1970,44300
SKJCIO,1971,42600
SKJCIO,1972,36400
SKJCIO,1973,46500
SKJCIO,1974,56800
SKJCIO,1975,44600
SKJCIO,1976,52300
SKJCIO,1977,49700
SKJCIO,1978,45300
SKJCIO,1979,49500
SKJCIO,1980,55500
SKJCIO,1981,58800
SKJCIO,1982,62300
SKJCIO,1983,69900
SKJCIO,1984,112000
SKJCIO,1985,144000
SKJCIO,1986,158000
SKJCIO,1987,176000
SKJCIO,1988,209000
SKJCIO,1989,251000
SKJCIO,1990,228000
SKJCIO,1991,248000
SKJCIO,1992,286000
SKJCIO,1993,314000
SKJCIO,1994,351000
SKJCIO,1995,345000
SKJCIO,1996,321000
SKJCIO,1997,332000
SKJCIO,1998,340000
SKJCIO,1999,424000
SKJCIO,2000,419000
SKJCIO,2001,409000
SKJCIO,2002,482000
SKJCIO,2003,481000
SKJCIO,2004,455000
SKJCIO,2005,555000
SKJCIO,2006,616000
SKJCIO,2007,466000
SKJCIO,2008,438000
SKJCIO,2009,438000
SKJCIO,2010,424000
SKJCIO,2011,383000
SKJCIO,2012,339000
SKJCIO,2013,434000
SKJCIO,2014,422000
SKJCIO,2015,397000
SKJCIO,2016,471000
SKJCIO,2017,470000
SKJCIO,2018,610000
SKJCIO,2019,547248
SKJCIO,2020,555211
