stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
SKJCIO,Skipjack tuna Indian Ocean,1950,0.0131,1430000,1.82,2.49,NA,10800,0.00755244755244755,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1951,0.0131,1420000,1.82,2.48,NA,13700,0.00964788732394366,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1952,0.0131,1410000,1.81,2.48,NA,13500,0.00957446808510638,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1953,0.0131,1410000,1.8,2.48,NA,14300,0.0101418439716312,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1954,0.0131,1410000,1.8,2.48,NA,15100,0.010709219858156,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1955,0.0131,1410000,1.8,2.48,NA,15300,0.0108510638297872,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1956,0.0131,1410000,1.8,2.48,NA,16000,0.0113475177304965,NA,NA,0.0131,multinational
SKJCIO,Skipjack tuna Indian Ocean,1957,0.0175,1410000,1.8,2.48,NA,17700,0.0125531914893617,NA,NA,0.0175,multinational
SKJCIO,Skipjack tuna Indian Ocean,1958,0.0175,1400000,1.8,2.48,NA,16800,0.012,NA,NA,0.0175,multinational
SKJCIO,Skipjack tuna Indian Ocean,1959,0.0175,1400000,1.8,2.48,NA,16900,0.0120714285714286,NA,NA,0.0175,multinational
SKJCIO,Skipjack tuna Indian Ocean,1960,0.0175,1400000,1.8,2.47,NA,16700,0.0119285714285714,NA,NA,0.0175,multinational
SKJCIO,Skipjack tuna Indian Ocean,1961,0.0204,1400000,1.8,2.47,NA,16600,0.0118571428571429,NA,NA,0.0204,multinational
SKJCIO,Skipjack tuna Indian Ocean,1962,0.0175,1400000,1.79,2.47,NA,18900,0.0135,NA,NA,0.0175,multinational
SKJCIO,Skipjack tuna Indian Ocean,1963,0.0204,1400000,1.79,2.46,NA,21300,0.0152142857142857,NA,NA,0.0204,multinational
SKJCIO,Skipjack tuna Indian Ocean,1964,0.0204,1400000,1.79,2.46,NA,22300,0.0159285714285714,NA,NA,0.0204,multinational
SKJCIO,Skipjack tuna Indian Ocean,1965,0.0321,1400000,1.78,2.46,NA,28500,0.0203571428571429,NA,NA,0.0321,multinational
SKJCIO,Skipjack tuna Indian Ocean,1966,0.035,1390000,1.78,2.44,NA,33700,0.0242446043165468,NA,NA,0.035,multinational
SKJCIO,Skipjack tuna Indian Ocean,1967,0.0394,1390000,1.77,2.44,NA,36200,0.0260431654676259,NA,NA,0.0394,multinational
SKJCIO,Skipjack tuna Indian Ocean,1968,0.035,1380000,1.77,2.43,NA,35900,0.0260144927536232,NA,NA,0.035,multinational
SKJCIO,Skipjack tuna Indian Ocean,1969,0.0394,1380000,1.77,2.43,NA,38500,0.0278985507246377,NA,NA,0.0394,multinational
SKJCIO,Skipjack tuna Indian Ocean,1970,0.0423,1380000,1.77,2.43,NA,44300,0.0321014492753623,NA,NA,0.0423,multinational
SKJCIO,Skipjack tuna Indian Ocean,1971,0.0423,1370000,1.76,2.42,NA,42600,0.0310948905109489,NA,NA,0.0423,multinational
SKJCIO,Skipjack tuna Indian Ocean,1972,0.035,1370000,1.76,2.42,NA,36400,0.0265693430656934,NA,NA,0.035,multinational
SKJCIO,Skipjack tuna Indian Ocean,1973,0.0423,1370000,1.76,2.42,NA,46500,0.0339416058394161,NA,NA,0.0423,multinational
SKJCIO,Skipjack tuna Indian Ocean,1974,0.053900000000000003,1370000,1.76,2.41,NA,56800,0.0414598540145985,NA,NA,0.053900000000000003,multinational
SKJCIO,Skipjack tuna Indian Ocean,1975,0.0423,1360000,1.75,2.4,NA,44600,0.0327941176470588,NA,NA,0.0423,multinational
SKJCIO,Skipjack tuna Indian Ocean,1976,0.0496,1360000,1.76,2.4,NA,52300,0.0384558823529412,NA,NA,0.0496,multinational
SKJCIO,Skipjack tuna Indian Ocean,1977,0.0423,1360000,1.75,2.4,NA,49700,0.0365441176470588,NA,NA,0.0423,multinational
