stockid,year,catch
SKJCWPAC,1950,39903
SKJCWPAC,1951,106576
SKJCWPAC,1952,92302
SKJCWPAC,1953,80321
SKJCWPAC,1954,104161
SKJCWPAC,1955,108251
SKJCWPAC,1956,107189
SKJCWPAC,1957,106941
SKJCWPAC,1958,157383
SKJCWPAC,1959,177274
SKJCWPAC,1960,89938
SKJCWPAC,1961,156736
SKJCWPAC,1962,181624
SKJCWPAC,1963,122703
SKJCWPAC,1964,182918
SKJCWPAC,1965,155221
SKJCWPAC,1966,249512
SKJCWPAC,1967,204806
SKJCWPAC,1968,194967
SKJCWPAC,1969,203323
SKJCWPAC,1970,242018
SKJCWPAC,1971,228687
SKJCWPAC,1972,238062
SKJCWPAC,1973,329027
SKJCWPAC,1974,356521
SKJCWPAC,1975,288442
SKJCWPAC,1976,356822
SKJCWPAC,1977,401688
SKJCWPAC,1978,448025
SKJCWPAC,1979,408843
SKJCWPAC,1980,448631
SKJCWPAC,1981,426213
SKJCWPAC,1982,459612
SKJCWPAC,1983,629452
SKJCWPAC,1984,703985
SKJCWPAC,1985,547709
SKJCWPAC,1986,809107
SKJCWPAC,1987,638734
SKJCWPAC,1988,789836
SKJCWPAC,1989,749973
SKJCWPAC,1990,809937
SKJCWPAC,1991,1025145
SKJCWPAC,1992,928150
SKJCWPAC,1993,864455
SKJCWPAC,1994,939508
SKJCWPAC,1995,977478
SKJCWPAC,1996,1003205
SKJCWPAC,1997,942932
SKJCWPAC,1998,1247087
SKJCWPAC,1999,1072899
SKJCWPAC,2000,1198149
SKJCWPAC,2001,1104553
SKJCWPAC,2002,1256174
SKJCWPAC,2003,1247718
SKJCWPAC,2004,1357330
SKJCWPAC,2005,1418129
SKJCWPAC,2006,1479386
SKJCWPAC,2007,1663349
SKJCWPAC,2008,1649075
SKJCWPAC,2009,1761338
SKJCWPAC,2010,1680363
SKJCWPAC,2011,1536806
SKJCWPAC,2012,1731944
SKJCWPAC,2013,1831396
SKJCWPAC,2014,1985132
SKJCWPAC,2015,1788514
SKJCWPAC,2016,1790934
SKJCWPAC,2017,1614935
SKJCWPAC,2018,1849017
SKJCWPAC,2019,2041758
SKJCWPAC,2020,1753922
