stockid,year,TCbest
YFINEPAC,1950,102000
YFINEPAC,1951,84400
YFINEPAC,1952,88600
YFINEPAC,1953,63500
YFINEPAC,1954,63700
YFINEPAC,1955,64300
YFINEPAC,1956,81300
YFINEPAC,1957,79800
YFINEPAC,1958,72300
YFINEPAC,1959,61600
YFINEPAC,1960,108000
YFINEPAC,1961,109000
YFINEPAC,1962,78200
YFINEPAC,1963,74700
YFINEPAC,1964,100000
YFINEPAC,1965,88300
YFINEPAC,1966,83900
YFINEPAC,1967,80800
YFINEPAC,1968,109000
YFINEPAC,1969,138000
YFINEPAC,1970,161000
YFINEPAC,1971,121000
YFINEPAC,1972,188000
YFINEPAC,1973,210000
YFINEPAC,1974,208000
YFINEPAC,1975,200000
YFINEPAC,1976,234000
YFINEPAC,1977,199000
YFINEPAC,1978,174000
YFINEPAC,1979,187000
YFINEPAC,1980,159000
YFINEPAC,1981,179000
YFINEPAC,1982,128000
YFINEPAC,1983,99700
YFINEPAC,1984,149000
YFINEPAC,1985,226000
YFINEPAC,1986,286000
YFINEPAC,1987,286000
YFINEPAC,1988,296000
YFINEPAC,1989,299000
YFINEPAC,1990,302000
YFINEPAC,1991,266000
YFINEPAC,1992,253000
YFINEPAC,1993,251000
YFINEPAC,1994,244000
YFINEPAC,1995,239000
YFINEPAC,1996,261000
YFINEPAC,1997,272000
YFINEPAC,1998,276000
YFINEPAC,1999,298000
YFINEPAC,2000,281000
YFINEPAC,2001,418000
YFINEPAC,2002,439000
YFINEPAC,2003,410000
YFINEPAC,2004,294000
YFINEPAC,2005,284000
YFINEPAC,2006,178000
YFINEPAC,2007,180000
YFINEPAC,2008,197000
YFINEPAC,2009,249000
YFINEPAC,2010,261000
YFINEPAC,2011,216000
YFINEPAC,2012,213000
YFINEPAC,2013,231000
YFINEPAC,2014,246000
YFINEPAC,2015,260000
YFINEPAC,2016,252000
