stockid,year,TCbest
YFINATL,1950,NA
YFINATL,1951,1360
YFINATL,1952,2790
YFINATL,1953,3600
YFINATL,1954,3410
YFINATL,1955,4300
YFINATL,1956,6600
YFINATL,1957,23700
YFINATL,1958,40600
YFINATL,1959,57800
YFINATL,1960,68500
YFINATL,1961,58800
YFINATL,1962,57500
YFINATL,1963,64600
YFINATL,1964,68900
YFINATL,1965,67700
YFINATL,1966,58700
YFINATL,1967,60200
YFINATL,1968,84300
YFINATL,1969,94600
YFINATL,1970,74500
YFINATL,1971,74500
YFINATL,1972,94600
YFINATL,1973,95100
YFINATL,1974,107000
YFINATL,1975,125000
YFINATL,1976,125000
YFINATL,1977,131000
YFINATL,1978,134000
YFINATL,1979,128000
YFINATL,1980,131000
YFINATL,1981,156000
YFINATL,1982,165000
YFINATL,1983,166000
YFINATL,1984,114000
YFINATL,1985,157000
YFINATL,1986,147000
YFINATL,1987,145000
YFINATL,1988,136000
YFINATL,1989,162000
YFINATL,1990,194000
YFINATL,1991,168000
YFINATL,1992,164000
YFINATL,1993,163000
YFINATL,1994,174000
YFINATL,1995,155000
YFINATL,1996,149000
YFINATL,1997,137000
YFINATL,1998,144000
YFINATL,1999,136000
YFINATL,2000,132000
YFINATL,2001,153000
YFINATL,2002,134000
YFINATL,2003,122000
YFINATL,2004,119000
YFINATL,2005,102000
YFINATL,2006,105000
YFINATL,2007,96000
YFINATL,2008,107000
YFINATL,2009,113000
YFINATL,2010,109000
YFINATL,2011,103000
YFINATL,2012,105000
YFINATL,2013,97300
YFINATL,2014,97000
YFINATL,2015,109000
YFINATL,2016,128000
