stockid,year,catch
YFINCWPAC,1950,22562
YFINCWPAC,1951,20095
YFINCWPAC,1952,32514
YFINCWPAC,1953,40067
YFINCWPAC,1954,41944
YFINCWPAC,1955,41351
YFINCWPAC,1956,42733
YFINCWPAC,1957,58043
YFINCWPAC,1958,63398
YFINCWPAC,1959,66895
YFINCWPAC,1960,73667
YFINCWPAC,1961,75438
YFINCWPAC,1962,83944
YFINCWPAC,1963,75756
YFINCWPAC,1964,74148
YFINCWPAC,1965,73629
YFINCWPAC,1966,93068
YFINCWPAC,1967,68576
YFINCWPAC,1968,81446
YFINCWPAC,1969,87017
YFINCWPAC,1970,98664
YFINCWPAC,1971,104127
YFINCWPAC,1972,114961
YFINCWPAC,1973,127713
YFINCWPAC,1974,130611
YFINCWPAC,1975,140233
YFINCWPAC,1976,151891
YFINCWPAC,1977,183437
YFINCWPAC,1978,176414
YFINCWPAC,1979,198232
YFINCWPAC,1980,217690
YFINCWPAC,1981,227008
YFINCWPAC,1982,235251
YFINCWPAC,1983,289442
YFINCWPAC,1984,290052
YFINCWPAC,1985,297846
YFINCWPAC,1986,345810
YFINCWPAC,1987,333937
YFINCWPAC,1988,321006
YFINCWPAC,1989,383505
YFINCWPAC,1990,429589
YFINCWPAC,1991,460490
YFINCWPAC,1992,456510
YFINCWPAC,1993,418101
YFINCWPAC,1994,449221
YFINCWPAC,1995,442815
YFINCWPAC,1996,425705
YFINCWPAC,1997,481125
YFINCWPAC,1998,536853
YFINCWPAC,1999,475159
YFINCWPAC,2000,506965
YFINCWPAC,2001,505659
YFINCWPAC,2002,491890
YFINCWPAC,2003,565533
YFINCWPAC,2004,598099
YFINCWPAC,2005,553254
YFINCWPAC,2006,539773
YFINCWPAC,2007,567047
YFINCWPAC,2008,644427
YFINCWPAC,2009,558446
YFINCWPAC,2010,566205
YFINCWPAC,2011,531230
YFINCWPAC,2012,625687
YFINCWPAC,2013,578552
YFINCWPAC,2014,618063
YFINCWPAC,2015,589285
YFINCWPAC,2016,658538
YFINCWPAC,2017,707866
YFINCWPAC,2018,695142
YFINCWPAC,2019,689599
YFINCWPAC,2020,722042
