stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1950,NA,NA,NA,NA,NA,22600,NA,NA,NA,NA,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1951,NA,NA,NA,NA,NA,20100,NA,NA,NA,NA,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1952,0.00677,7840000,3.21,5.41,NA,32500,0.00414540816326531,4550000,0.00575,0.00677,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1953,0.00985,7950000,3.19,5.41,NA,40100,0.0050440251572327,4550000,0.00837,0.00985,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1954,0.00985,7720000,3.03,5.45,NA,41900,0.00542746113989637,4580000,0.00837,0.00985,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1955,0.00985,7560000,3,5.18,NA,41400,0.00547619047619048,4350000,0.00837,0.00985,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1956,0.00892,7890000,3.28,5.03,NA,42700,0.00541191381495564,4230000,0.00759,0.00892,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1957,0.0135,8100000,3.38,5.65,NA,58000,0.00716049382716049,4750000,0.0115,0.0135,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1958,0.016,8360000,3.47,5.54,NA,63400,0.00758373205741627,4660000,0.0136,0.016,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1959,0.016,8620000,3.66,5.76,NA,66900,0.00776102088167053,4840000,0.0136,0.016,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1960,0.0206,8360000,3.56,6.21,NA,73700,0.00881578947368421,5220000,0.0175,0.0206,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1961,0.0222,7110000,3.1,5.55,NA,75400,0.0106047819971871,4670000,0.0188,0.0222,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1962,0.0274,6210000,2.72,4.09,NA,83900,0.0135104669887279,3440000,0.0233,0.0274,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1963,0.0222,5950000,2.71,3.82,NA,75800,0.0127394957983193,3210000,0.0188,0.0222,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1964,0.0206,6110000,2.97,4.05,NA,74200,0.0121440261865794,3410000,0.0175,0.0206,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1965,0.0222,6050000,3.06,4.07,NA,73600,0.0121652892561983,3430000,0.0188,0.0222,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1966,0.0305,5740000,2.92,4.26,NA,93100,0.016219512195122,3580000,0.0259,0.0305,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1967,0.0215,5190000,2.63,3.6,NA,68900,0.0132755298651252,3030000,0.0183,0.0215,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1968,0.0268,4960000,2.37,3.36,NA,81900,0.0165120967741935,2820000,0.0228,0.0268,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1969,0.0274,4830000,2.18,3.28,NA,87300,0.0180745341614907,2760000,0.0233,0.0274,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1970,0.0612,4910000,2.5,3.17,NA,99200,0.02020366598778,2670000,0.052,0.0612,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1971,0.0674,5070000,2.66,3.38,NA,105000,0.0207100591715976,2840000,0.0573,0.0674,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1972,0.0769,4830000,2.6,3.6,NA,116000,0.0240165631469979,3030000,0.0654,0.0769,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1973,0.096,4550000,2.31,3.12,NA,129000,0.0283516483516484,2630000,0.0816,0.096,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1974,0.0991,4440000,2.2,2.92,NA,132000,0.0297297297297297,2450000,0.0842,0.0991,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1975,0.106,4360000,2.08,3.08,NA,141000,0.0323394495412844,2590000,0.09,0.106,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1976,0.0991,4390000,2,2.84,NA,153000,0.0348519362186788,2390000,0.0842,0.0991,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1977,0.12,4670000,2.27,2.97,NA,184000,0.0394004282655246,2500000,0.102,0.12,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1978,0.104,4960000,2.43,3.38,NA,178000,0.0358870967741935,2840000,0.0887,0.104,multinational
YFINCWPAC,Yellowfin tuna Central Western Pacific Ocean,1979,0.122,4930000,2.51,3.5,NA,199000,0.0403651115618661,2940000,0.104,0.122,multinational
