stockid,year,catch,,,,,,,,
YFINEIO,1950,4300,,,,,,,,
YFINEIO,1951,4740,,,,,,,,
YFINEIO,1952,8390,,,,,,,,
YFINEIO,1953,11500,,,,,,,,
YFINEIO,1954,27000,,,,,,,,
YFINEIO,1955,50700,,,,,,,,
YFINEIO,1956,66500,,,,,,,,
YFINEIO,1957,40200,,,,,,,,
YFINEIO,1958,31000,,,,,,,,
YFINEIO,1959,30900,,,,,,,,
YFINEIO,1960,44400,,,,,,,,
YFINEIO,1961,42800,,,,,,,,
YFINEIO,1962,56100,,,,,,,,
YFINEIO,1963,35400,,,,,,,,
YFINEIO,1964,36000,,,,,,,,
YFINEIO,1965,37400,,,,,,,,
YFINEIO,1966,56900,,,,,,,,
YFINEIO,1967,46500,,,,,,,,
YFINEIO,1968,88400,,,,,,,,
YFINEIO,1969,65200,,,,,,,,
YFINEIO,1970,42500,,,,,,,,
YFINEIO,1971,43500,,,,,,,,
YFINEIO,1972,45200,,,,,,,,
YFINEIO,1973,41600,,,,,,,,
YFINEIO,1974,45700,,,,,,,,
YFINEIO,1975,47800,,,,,,,,
YFINEIO,1976,51100,,,,,,,,
YFINEIO,1977,74200,,,,,,,,
YFINEIO,1978,64000,,,,,,,,
YFINEIO,1979,56200,,,,,,,,
YFINEIO,1980,53600,,,,,,,,
YFINEIO,1981,59300,,,,,,,,
YFINEIO,1982,70600,,,,,,,,
YFINEIO,1983,74100,,,,,,,,
YFINEIO,1984,120000,,,,,,,,
YFINEIO,1985,135000,,,,,,,,
YFINEIO,1986,151000,,,,,,,,
YFINEIO,1987,168000,,,,,,,,
YFINEIO,1988,223000,,,,,,,,
YFINEIO,1989,213000,,,,,,,,
YFINEIO,1990,253000,,,,,,,,
YFINEIO,1991,245000,,,,,,,,
YFINEIO,1992,321000,,,,,,,,
YFINEIO,1993,402000,,,,,,,,
YFINEIO,1994,340000,,,,,,,,
YFINEIO,1995,353000,,,,,,,,
YFINEIO,1996,362000,,,,,,,,
YFINEIO,1997,357000,,,,,,,,
YFINEIO,1998,325000,,,,,,,,
YFINEIO,1999,370000,,,,,,,,
YFINEIO,2000,343000,,,,,,,,
YFINEIO,2001,322000,,,,,,,,
YFINEIO,2002,348000,,,,,,,,
YFINEIO,2003,456000,,,,,,,,
YFINEIO,2004,528000,,,,,,,,
YFINEIO,2005,511000,,,,,,,,
YFINEIO,2006,425000,,,,,,,,
YFINEIO,2007,324000,,,,,,,,
YFINEIO,2008,321000,,,,,,,,
YFINEIO,2009,267000,,,,,,,,
YFINEIO,2010,302000,,,,,,,,
YFINEIO,2011,327000,,,,,,,,
YFINEIO,2012,400000,,,,,,,,
YFINEIO,2013,405000,,,,,,,,
YFINEIO,2014,408000,,,,,,,,
YFINEIO,2015,402000,,,,,,,,
YFINEIO,2016,427000,,,,,,,,
YFINEIO,2017,422700,,,,,,,,
YFINEIO,2018,443000,,,,,,,,
YFINEIO,2019,"449,600",,,,,,,,
YFINEIO,2020,"432,623",,,,,,,,
