stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
YFINEIO,Yellowfin tuna Indian Ocean,1950,0.01,NA,NA,3.09,NA,4300,NA,2920000,NA,0.01,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1951,0.0109,NA,NA,3.08,NA,4740,NA,2920000,NA,0.0109,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1952,0.0122,NA,NA,3.07,NA,8390,NA,2910000,NA,0.0122,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1953,0.0134,NA,NA,3.06,NA,11500,NA,2900000,NA,0.0134,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1954,0.0205,NA,NA,3.05,NA,27000,NA,2890000,NA,0.0205,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1955,0.0325,NA,NA,3.03,NA,50700,NA,2870000,NA,0.0325,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1956,0.0399,NA,NA,2.99,NA,66500,NA,2830000,NA,0.0399,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1957,0.0292,NA,NA,2.97,NA,40200,NA,2820000,NA,0.0292,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1958,0.0251,NA,NA,2.98,NA,31000,NA,2820000,NA,0.0251,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1959,0.0243,NA,NA,2.99,NA,30900,NA,2830000,NA,0.0243,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1960,0.0282,NA,NA,2.99,NA,44400,NA,2830000,NA,0.0282,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1961,0.0301,NA,NA,2.98,NA,42800,NA,2820000,NA,0.0301,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1962,0.037,NA,NA,2.97,NA,56100,NA,2810000,NA,0.037,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1963,0.0297,NA,NA,2.97,NA,35400,NA,2810000,NA,0.0297,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1964,0.0312,NA,NA,2.97,NA,36000,NA,2810000,NA,0.0312,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1965,0.0297,NA,NA,2.97,NA,37400,NA,2820000,NA,0.0297,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1966,0.0409,NA,NA,2.97,NA,56900,NA,2810000,NA,0.0409,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1967,0.0383,NA,NA,2.95,NA,46500,NA,2800000,NA,0.0383,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1968,0.0583,NA,NA,2.93,NA,88400,NA,2780000,NA,0.0583,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1969,0.0481,NA,NA,2.91,NA,65200,NA,2760000,NA,0.0481,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1970,0.0403,NA,NA,2.92,NA,42500,NA,2760000,NA,0.0403,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1971,0.0375,NA,NA,2.93,NA,43500,NA,2770000,NA,0.0375,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1972,0.049,NA,NA,2.94,NA,45200,NA,2780000,NA,0.049,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1973,0.0564,NA,NA,2.93,NA,41600,NA,2780000,NA,0.0564,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1974,0.0588,NA,NA,2.87,NA,45700,NA,2710000,NA,0.0588,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1975,0.0616,NA,NA,2.8,NA,47800,NA,2650000,NA,0.0616,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1976,0.0731,NA,NA,2.97,NA,51100,NA,2810000,NA,0.0731,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1977,0.0934,NA,NA,3.01,NA,74200,NA,2850000,NA,0.0934,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1978,0.0736,NA,NA,2.78,NA,64000,NA,2630000,NA,0.0736,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1979,0.0727,NA,NA,2.42,NA,56200,NA,2290000,NA,0.0727,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1980,0.0841,NA,NA,2.22,NA,53600,NA,2100000,NA,0.0841,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1981,0.0859,NA,NA,2.42,NA,59300,NA,2300000,NA,0.0859,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1982,0.094,NA,NA,2.64,NA,70600,NA,2500000,NA,0.094,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1983,0.0984,NA,NA,2.57,NA,74100,NA,2440000,NA,0.0984,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1984,0.145,NA,NA,2.55,NA,120000,NA,2420000,NA,0.145,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1985,0.181,NA,NA,2.51,NA,135000,NA,2380000,NA,0.181,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1986,0.193,NA,NA,2.61,NA,151000,NA,2470000,NA,0.193,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1987,0.202,NA,NA,2.7,NA,168000,NA,2560000,NA,0.202,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1988,0.25,NA,NA,2.46,NA,223000,NA,2330000,NA,0.25,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1989,0.292,NA,NA,2.34,NA,213000,NA,2220000,NA,0.292,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1990,0.282,NA,NA,2.36,NA,253000,NA,2240000,NA,0.282,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1991,0.286,NA,NA,2.19,NA,245000,NA,2070000,NA,0.286,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1992,0.427,NA,NA,1.97,NA,321000,NA,1870000,NA,0.427,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1993,0.448,NA,NA,1.9,NA,402000,NA,1800000,NA,0.448,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1994,0.544,NA,NA,1.73,NA,340000,NA,1630000,NA,0.544,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1995,0.633,NA,NA,1.66,NA,353000,NA,1570000,NA,0.633,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1996,0.578,NA,NA,1.59,NA,362000,NA,1500000,NA,0.578,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1997,0.697,NA,NA,1.45,NA,357000,NA,1370000,NA,0.697,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1998,0.532,NA,NA,1.42,NA,325000,NA,1340000,NA,0.532,multinational
YFINEIO,Yellowfin tuna Indian Ocean,1999,0.671,NA,NA,1.52,NA,370000,NA,1440000,NA,0.671,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2000,0.597,NA,NA,1.6,NA,343000,NA,1520000,NA,0.597,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2001,0.459,NA,NA,1.7,NA,322000,NA,1610000,NA,0.459,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2002,0.504,NA,NA,1.66,NA,348000,NA,1580000,NA,0.504,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2003,0.656,NA,NA,1.76,NA,456000,NA,1660000,NA,0.656,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2004,0.763,NA,NA,1.8,NA,528000,NA,1700000,NA,0.763,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2005,0.961,NA,NA,1.68,NA,511000,NA,1600000,NA,0.961,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2006,0.941,NA,NA,1.48,NA,425000,NA,1400000,NA,0.941,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2007,0.769,NA,NA,1.17,NA,324000,NA,1100000,NA,0.769,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2008,0.802,NA,NA,0.817,NA,321000,NA,774000,NA,0.802,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2009,0.789,NA,NA,0.75,NA,267000,NA,711000,NA,0.789,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2010,0.883,NA,NA,0.926,NA,302000,NA,877000,NA,0.883,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2011,0.846,NA,NA,1.14,NA,327000,NA,1080000,NA,0.846,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2012,0.933,NA,NA,1.07,NA,400000,NA,1010000,NA,0.933,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2013,1.17,NA,NA,0.942,NA,405000,NA,892000,NA,1.17,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2014,1.23,NA,NA,0.906,NA,408000,NA,859000,NA,1.23,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2015,1.11,NA,NA,0.891,NA,402000,NA,844000,NA,1.11,multinational
YFINEIO,Yellowfin tuna Indian Ocean,2016,NA,NA,NA,NA,NA,427000,NA,NA,NA,NA,multinational
